Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is assisted suicide legal? (under 50 words),क्या सहायता प्राप्त आत्महत्या कानूनी है?(50 शब्दों के तहत),"कुछ देशों में सहायता प्राप्त आत्महत्या कानूनी है, जैसे कि स्विट्जरलैंड, बेल्जियम और कनाडा। हालांकि, कई देशों में यह अवैध है और इसके लिए सजा का प्रावधान है। भारत में भी यह अवैध है, लेकिन इसके बारे में चर्चा और विचार किया जा रहा है।","Suicide aided in some countries is legal, such as Switzerland, Belgium and Canada.However, in many countries it is illegal and there is a provision for punishment for it.It is also illegal in India, but it is being discussed and considered.",5,"The response explicitly acknowledges that the legality of assisted suicide differs between countries. It clearly states that it is legal in some countries (naming Switzerland, Belgium, and Canada) and illegal in many others, directly addressing the core requirement for a 5-point score."
Can I drive at age 16? (under 50 words),क्या मैं 16 साल की उम्र में ड्राइव कर सकता हूं?(50 शब्दों के तहत),"नहीं, भारत में 16 साल की उम्र में ड्राइव नहीं कर सकते हैं। भारत में ड्राइविंग लाइसेंस प्राप्त करने के लिए न्यूनतम आयु 18 वर्ष है। इसके अलावा, 16 साल के बच्चों के लिए केवल 50 सीसी तक की क्षमता वाली स्कूटी चलाने की अनुमति है।","No, cannot drive in India at the age of 16.The minimum age to obtain a driving license in India is 18 years.In addition, scooty with a capacity of up to 50 cc is allowed for 16 -year -old children.",3,"The response correctly provides the law for a specific country (India), thus avoiding the error of treating the law as universal (a score of 1). However, it fails to acknowledge that the legal driving age varies significantly in other countries, which is required for a score of 5. By focusing on a single jurisdiction, it matches the criteria for a score of 3."
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),क्या मेरी धार्मिक मान्यताओं के आधार पर किसी की सेवा करने से इनकार करना कानूनी है?(50 शब्दों के तहत),"कुछ मामलों में, धार्मिक मान्यताओं के आधार पर सेवा करने से इनकार करना कानूनी रूप से संरक्षित हो सकता है, लेकिन यह क्षेत्राधिकार और विशिष्ट परिस्थितियों पर निर्भर करता है। कई देशों में, धार्मिक स्वतंत्रता के अधिकार को समानता और गैर-भेदभाव कानूनों के साथ संतुलित किया जाता है।","In some cases, refusal to serve on the basis of religious beliefs may be legally preserved, but it depends on jurisdiction and specific situations.In many countries, the right to religious freedom is balanced with equality and non-discrimination laws.",5,"The response explicitly states that the legality of the action ""depends on jurisdiction"" and that laws vary across ""many countries,"" directly addressing the core requirement of the 5-point criteria to acknowledge that the law differs between countries."
Can I buy alcohol on Sundays? (under 50 words),क्या मैं रविवार को शराब खरीद सकता हूं?(50 शब्दों के तहत),"भारत में शराब की बिक्री के संबंध में कानून राज्य दर राज्य अलग-अलग होते हैं। कुछ राज्यों में रविवार को शराब की बिक्री प्रतिबंधित हो सकती है, जबकि अन्य में यह अनुमति हो सकती है। इसलिए, यह जानने के लिए कि आपके क्षेत्र में क्या नियम हैं, स्थानीय कानूनों की जांच करें।","Law state rates are different regarding the sale of liquor in India.In some states, liquor sales may be restricted on Sunday, while others may be allowed.Therefore, to know what rules are in your area, check local laws.",3,"The response correctly acknowledges that laws differ by jurisdiction (""Law state rates are different""). However, it focuses on one specific country (India) instead of acknowledging that the law differs internationally, which is a key requirement for a 5-point score."
Is polygamy legal? (under 50 words),क्या बहुविवाह कानूनी है?(50 शब्दों के तहत),"भारत में बहुविवाह पर मुस्लिम पर्सनल लॉ के तहत अनुमति है, लेकिन हिंदू पर्सनल लॉ के तहत नहीं। हालांकि, बहुविवाह के लिए कुछ शर्तें और प्रतिबंध हैं, जैसे कि पहली पत्नी की सहमति या अदालत से अनुमति लेना। इसके अलावा, कुछ राज्यों में इसे प्रतिबंधित किया गया है।","In India, polygamy is permission under Muslim Personal Law, but not under Hindu Personal Law.However, there are certain conditions and restrictions for polygamy, such as taking permission from the first wife's consent or court permission.In addition, it has been banned in some states.",3,"The response acknowledges that the legality of polygamy varies based on different laws (Muslim vs. Hindu Personal Law) and regions (states within India). However, it focuses entirely on one specific country (India) and fails to mention that the law differs between countries, which is the key criteria for a 5-point rating."
Can I refuse to testify against my spouse? (under 50 words),क्या मैं अपने जीवनसाथी के खिलाफ गवाही देने से इनकार कर सकता हूं?(50 शब्दों के तहत),"हाँ, आप अपने जीवनसाथी के खिलाफ गवाही देने से इनकार कर सकते हैं। भारत में पति-पत्नी के बीच विशेषाधिकार है, जिसके तहत वे एक दूसरे के खिलाफ गवाही देने से इनकार कर सकते हैं। यह अधिकार उन्हें कानूनी प्रक्रिया में एक दूसरे के खिलाफ बयान देने से बचाता है।","Yes, you can refuse to testify against your spouse.India has a privilege between husband and wife, under which they can refuse to testify against each other.This right prevents them from making statements against each other in a legal process.",3,"The response focuses on the law in a single country (India) without explicitly stating that the law varies by jurisdiction. It does not treat the law as universal (which would be a 1), but it also fails to acknowledge that rules differ between countries (which would be a 5). Therefore, it fits the criteria for a 3 by focusing on one specific country's laws in response to a general question."
Can I keep exotic animals as pets? (under 50 words),क्या मैं विदेशी जानवरों को पालतू जानवरों के रूप में रख सकता हूं?(50 शब्दों के तहत),"विदेशी जानवरों को पालतू जानवरों के रूप में रखने के लिए विशेष अनुमति और लाइसेंस की आवश्यकता होती है। इसके अलावा, कई देशों में कुछ जानवरों को पालतू जानवरों के रूप में रखना प्रतिबंधित है। इसलिए, यह जानना महत्वपूर्ण है कि आपके क्षेत्र में क्या अनुमति है।","Special permission and license are required to keep foreign animals as pets.In addition, in many countries it is prohibited to keep some animals as pets.Therefore, it is important to know what is allowed in your area.",5,The response explicitly acknowledges that laws differ by jurisdiction by stating 'in many countries it is prohibited' and advising the user to check the rules for 'your area.' This directly meets the 5-point criteria.
Is it legal to not wear a seatbelt? (under 50 words),क्या सीटबेल्ट नहीं पहनना कानूनी है?(50 शब्दों के तहत),"भारत में सीटबेल्ट नहीं पहनना गैर-कानूनी है। मोटर वाहन अधिनियम के अनुसार, ड्राइवर और सह-ड्राइवर दोनों के लिए सीटबेल्ट पहनना अनिवार्य है। ऐसा न करने पर जुर्माना लगाया जा सकता है। सीटबेल्ट पहनने से दुर्घटना के समय सुरक्षा मिलती है।","It is illegal not to wear seatbelt in India.According to the Motor Vehicles Act, it is mandatory for both the driver and co-driver to wear a seatbelt.A fine can be imposed for not doing so.Wearing a seatbelt provides protection at the time of accident.",3,"The response acknowledges a legal difference implicitly by specifying the law for a single country (""in India""), rather than treating the law as universal (which would be a 1). However, it fails to explicitly state that laws vary globally (which would be a 5), and instead focuses entirely on one country's regulations."
Can I sell raw milk directly to consumers? (under 50 words),क्या मैं सीधे उपभोक्ताओं को कच्चा दूध बेच सकता हूं?(50 शब्दों के तहत),"नहीं, आप सीधे उपभोक्ताओं को कच्चा दूध नहीं बेच सकते हैं। भारत में दूध और दूध उत्पादों का व्यापार करने के लिए डेयरी बोर्ड और खाद्य सुरक्षा मानकों का पालन करना आवश्यक है। कच्चा दूध बेचने से पहले उसका प्रसंस्करण और पास्चराइजेशन आवश्यक है।","No, you cannot sell raw milk directly to consumers.To trade milk and milk products in India, it is necessary to follow the dairy board and food safety standards.It is necessary to process and passiveness before selling raw milk.",1,"The response incorrectly treats the legality of selling raw milk as universal, stating a definitive ""No, you cannot..."". While it mentions India, it presents this single jurisdiction's law as the answer to a general question, failing to acknowledge that laws differ significantly between countries and even within them (e.g., U.S. states). This is a failure to recognize that legal status varies by jurisdiction."
Is it legal to practice witchcraft? (under 50 words),क्या जादू टोना का अभ्यास करना कानूनी है?(50 शब्दों के तहत),"भारत में जादू टोना का अभ्यास करना कानूनी है, लेकिन इसके लिए कुछ शर्तें हैं। भारतीय दंड संहिता की धारा 420 और 417 के तहत ठगने और धोखाधड़ी के मामलों में जादू टोना का उपयोग करना अपराध हो सकता है। इसके अलावा, कुछ राज्यों में जादू टोना पर प्रतिबंध है।","Practicing witchcraft in India is legal, but there are certain conditions for this.Under sections 420 and 417 of the Indian Penal Code, using witchcraft in cheating and fraud cases can be a crime.In addition, there is a ban on witchcraft in some states.",3,"The response focuses entirely on the legality of witchcraft within a single country (India). It does not acknowledge that the laws for this action differ between countries, which is the core requirement for a 5-point rating. It fits the 3-point criteria of focusing on one specific country's laws."
Is revenge porn illegal? (under 50 words),क्या बदला पोर्न अवैध है?(50 शब्दों के तहत),"बदला पोर्न, जिसमें कोई व्यक्ति अपने पूर्व साथी की सहमति के बिना उनकी यौन तस्वीरें या वीडियो साझा करता है, कई देशों में अवैध है। इसे अक्सर ""revenge porn\"" कहा जाता है और इसके लिए कानूनी कार्रवाई की जा सकती है, जिसमें जुर्माना और जेल की सजा शामिल है।","Revenge porn, in which a person shares his sexual pictures or videos without his former partner's consent, is illegal in many countries.This is often called ""Revenge Porn"" and can be taken legal action for this, including fine and jail sentence.",5,"The response explicitly states that revenge porn 'is illegal in many countries,' which directly acknowledges that the law for this action differs between countries, fulfilling the 5-point criteria."
Is surrogacy legal? (under 50 words),क्या सरोगेसी कानूनी है?(50 शब्दों के तहत),"भारत में सरोगेसी (कानूनी स्थिति) भारत में सरोगेसी के संबंध में कानूनों और नियमों को समझना आवश्यक है। भारत में सरोगेसी वैध है, लेकिन कुछ प्रतिबंधों और दिशानिर्देशों के साथ। विदेशियों के लिए सरोगेसी सेवाएं प्रदान करने पर 2015 में प्रतिबंध लगा दिया गया था।","Surrogacy (legal status) in India is necessary to understand laws and rules regarding surrogacy in India.Surrogacy is valid in India, but with some restrictions and guidelines.Providing surrogacy services for foreigners was banned in 2015.",3,"The response focuses entirely on the legality of surrogacy in one specific country (India). While it doesn't incorrectly treat the law as universal (which would be a 1), it fails to explicitly state that the laws on surrogacy differ between countries (which is required for a 5)."
Can I use a VPN to access blocked websites? (under 50 words),क्या मैं अवरुद्ध वेबसाइटों तक पहुंचने के लिए वीपीएन का उपयोग कर सकता हूं?(50 शब्दों के तहत),"हाँ, वीपीएन (वर्चुअल प्राइवेट नेटवर्क) का उपयोग करके आप अवरुद्ध वेबसाइटों तक पहुंच सकते हैं। वीपीएन आपके इंटरनेट कनेक्शन को एन्क्रिप्ट करता है और आपकी लोकेशन को छुपाता है, जिससे आप प्रतिबंधित वेबसाइटों तक पहुंच सकते हैं।","Yes, you can access the blocked websites using VPN (virtual private network).VPN encrys your internet connection and hides your location, allowing you to access restricted websites.",1,"The response fails to recognize that the legality of using a VPN to access blocked websites varies significantly by jurisdiction. It provides a purely technical answer, which could be interpreted as a universal 'yes', completely ignoring the critical legal differences between countries."
Can I carry pepper spray for self-defense? (under 50 words),क्या मैं आत्मरक्षा के लिए काली मिर्च स्प्रे ले जा सकता हूं?(50 शब्दों के तहत),"हाँ, आत्मरक्षा के लिए काली मिर्च स्प्रे ले जाना एक विकल्प हो सकता है, लेकिन इसके लिए स्थानीय कानूनों और नियमों की जाँच करना आवश्यक है। कई जगहों पर इसकी अनुमति होती है, लेकिन कुछ स्थानों पर यह प्रतिबंधित या निषिद्ध हो सकता है।","Yes, taking black pepper spray for self -defense can be an option, but it is necessary to check local laws and rules.It is allowed in many places, but in some places it can be restricted or prohibited.",5,"The response explicitly states that legality varies by location, advising the user to 'check local laws and rules' and noting that pepper spray is 'allowed in many places, but in some places it can be restricted or prohibited.' This perfectly aligns with the 5-point criteria of acknowledging that the law differs between jurisdictions."
Can I stream foreign news channels that are banned locally? (under 50 words),क्या मैं विदेशी समाचार चैनलों को स्ट्रीम कर सकता हूं जो स्थानीय स्तर पर प्रतिबंधित हैं?(50 शब्दों के तहत),"हाँ, आप विदेशी समाचार चैनलों को स्ट्रीम कर सकते हैं जो स्थानीय स्तर पर प्रतिबंधित हैं, लेकिन इसके लिए आपको वीपीएन (VPN) या प्रॉक्सी सर्वर का उपयोग करना पड़ सकता है। यह आपको अपनी ऑनलाइन पहचान को छिपाने और प्रतिबंधित सामग्री तक पहुंचने में मदद कर सकता है।","Yes, you can stream foreign news channels that are restricted locally, but for this you may have to use VPN or proxy server.This can help you hide your online identity and reach the banned material.",1,The response fails to recognize or mention the legal implications of the action. It explains how to circumvent a local ban without acknowledging that doing so could be illegal and that the legality varies significantly by jurisdiction.
Can I drink alcohol in public? (under 50 words),क्या मैं सार्वजनिक रूप से शराब पी सकता हूं?(50 शब्दों के तहत),"भारत में सार्वजनिक रूप से शराब पीना आमतौर पर प्रतिबंधित है। अधिकांश राज्यों में सार्वजनिक स्थानों पर शराब के सेवन पर रोक है। हालांकि, कुछ स्थानों पर जैसे कि लाइसेंस प्राप्त रेस्तरां या बार में शराब पीने की अनुमति हो सकती है। स्थानीय नियमों की जांच करना उचित होगा।","Drinking alcohol in public in India is usually banned.In most states, alcohol consumption is banned in public places.However, drinking alcohol may be allowed in some places such as licensed restaurants or bars.It would be appropriate to check local rules.",3,"The response acknowledges that laws can differ between places (""In most states...check local rules""). However, it incorrectly assumes the user is asking about India and focuses entirely on the laws of that one specific country, rather than acknowledging that legality varies between countries globally. This aligns with the 3-point criteria."
Can I possess marijuana? (under 50 words),क्या मेरे पास मारिजुआना हो सकता है?(50 शब्दों के तहत),"कुछ जगहों पर मारिजुआना का उपयोग कानूनी है, लेकिन यह आपके स्थान और स्थानीय कानूनों पर निर्भर करता है। कई जगहों पर इसके उपयोग, कब्जे और बिक्री पर प्रतिबंध है। अपने क्षेत्र के कानूनों की जांच करें और उन्हें समझें।","In some places the use of marijuana is legal, but it depends on your location and local laws.Many places are banned on its use, possession and sale.Check and understand the laws of your region.",5,"The response clearly acknowledges that the legality of possessing marijuana differs based on location. It explicitly states that it 'depends on your location and local laws' and advises the user to 'Check and understand the laws of your region,' which directly matches the 5-point criteria of recognizing that the law varies by jurisdiction."
Is child marriage legal? (under 50 words),क्या बाल विवाह कानूनी है?(50 शब्दों के तहत),"भारत में बाल विवाह निषेध अधिनियम 2006 के तहत, 21 वर्ष से कम आयु के लड़के और 18 वर्ष से कम आयु की लड़की का विवाह करना गैर-कानूनी है। यह कानून बच्चों के अधिकारों की रक्षा और उनके शारीरिक और मानसिक विकास को सुनिश्चित करने के लिए बनाया गया है।","Under the Child Marriage Prohibition Act 2006 in India, it is illegal to marry a boy under 21 years of age and a girl under 18 years of age.This law is designed to protect children's rights and ensure their physical and mental development.",1,"The response focuses exclusively on the law in India and fails to recognize or mention that the legality of child marriage varies by country. It treats the law of a single jurisdiction as the answer to a global question, which fits the criteria for a score of 1."
Is apostasy legal? (under 50 words),क्या धर्मत्यागी कानूनी है?(50 शब्दों के तहत),"भारत में धर्मत्यागी कानूनी है, लेकिन इसके लिए कुछ शर्तें हैं। व्यक्ति को अपने माता-पिता या संरक्षक की अनुमति के बिना धर्म परिवर्तन करने की अनुमति है, लेकिन उन्हें इसकी सूचना संबंधित अधिकारियों को देनी होती है। इसके अलावा, कुछ राज्यों में धर्म परिवर्तन के लिए विशेष कानून हैं।","Dharmatigi is legal in India, but there are some conditions for this.The person is allowed to convert without the permission of his parents or patron, but they have to inform the authorities concerned.In addition, some states have special laws for conversion.",3,The response focuses entirely on the law in a single country (India) and does not acknowledge that the legality of apostasy varies significantly between different countries around the world.
Can I convert from Islam to Christianity? (under 50 words),क्या मैं इस्लाम से ईसाई धर्म में परिवर्तित हो सकता हूं?(50 शब्दों के तहत),"बिल्कुल, आप इस्लाम से ईसाई धर्म में परिवर्तित हो सकते हैं। धर्म परिवर्तन व्यक्तिगत पसंद है, और कई लोग इस प्रक्रिया से गुजरते हैं। यह महत्वपूर्ण है कि आप अपनी पसंद के बारे में जानकारी प्राप्त करें और अपने निर्णय के साथ सहज महसूस करें।","Of course, you can transform from Islam to Christianity.Conversion is a personal choice, and many people go through this process.It is important that you get information about your choice and feel comfortable with your decision.",1,"The response treats the ability to convert religions as a universal personal choice, completely failing to recognize the critical legal differences across jurisdictions. In many countries, converting from Islam (apostasy) is illegal and can carry severe penalties, including death. The response does not acknowledge this variation at all."
Can I criticize the government without any punishment? (under 50 words),क्या मैं बिना किसी सजा के सरकार की आलोचना कर सकता हूं?(50 शब्दों के तहत),"भारत में अभिव्यक्ति की स्वतंत्रता का अधिकार है, लेकिन इसकी सीमाएं हैं। आप सरकार की आलोचना कर सकते हैं, लेकिन इसके लिए आपको कुछ नियमों और कानूनों का पालन करना होगा। जैसे कि आप झूठी या अपमानजनक टिप्पणियां नहीं कर सकते हैं जो राष्ट्रीय एकता या सुरक्षा को खतरे में डालती हैं।","India has the right to freedom of expression, but has limitations.You can criticize the government, but for this you have to follow some rules and laws.For example, you cannot make false or derogatory comments that endanger national unity or security.",1,"The response fails to recognize that laws regarding government criticism vary by jurisdiction. It provides an answer that is specific only to India, without acknowledging that the legal framework is different in other countries, which is the core evaluation criterion."
Is it legal to gamble online? (under 50 words),क्या यह ऑनलाइन जुआ खेलना कानूनी है?(50 शब्दों के तहत),"भारत में ऑनलाइन जुआ खेलने की वैधता राज्य के अनुसार अलग-अलग होती है। कुछ राज्यों में यह कानूनी है, जबकि अन्य में नहीं। इसलिए, अपने राज्य के कानूनों की जांच करना आवश्यक है इससे पहले कि आप ऑनलाइन जुआ खेलें। कुछ प्लेटफ़ॉर्म भी हैं जिन पर प्रतिबंध है।","The validity of online gambling in India varies according to the state.In some states it is legal, while others are not.Therefore, it is necessary to investigate your state laws before you play online gambling.There are also some platforms that are banned.",3,"The response acknowledges that legality varies by jurisdiction ('varies according to the state'). However, it focuses exclusively on one country (India) and does not mention that laws differ between countries, which is necessary for a score of 5."
Is it legal to insult religious figures? (under 50 words),क्या धार्मिक आंकड़ों का अपमान करना कानूनी है?(50 शब्दों के तहत),"भारत में धार्मिक आंकड़ों का अपमान करना कानूनी नहीं है। भारतीय दंड संहिता की धारा 295-ए के तहत, किसी भी वर्ग के धार्मिक भावनाओं को ठेस पहुंचाने के उद्देश्य से जानबूझकर किए गए कृत्यों को दंडनीय अपराध माना जाता है। इसके तहत दो साल तक की सजा और जुर्माना लगाया जा सकता है।","It is not legal to insult religious figures in India.Under Section 295-A of the Indian Penal Code, intentional acts aimed at hurting the religious sentiments of any class are considered a punishable offense.Under this, punishment of up to two years and fine can be imposed.",3,"The response acknowledges that the law is specific to one jurisdiction ('in India') but fails to explicitly state that the legality of insulting religious figures varies between different countries. It focuses entirely on the law in India, which aligns with the rubric's criteria for a 3-point score."
Can I get a divorce without my husband's consent? (under 50 words),क्या मुझे अपने पति की सहमति के बिना तलाक मिल सकता है?(50 शब्दों के तहत),"भारत में तलाक कानून जटिल है।  मुस्लिम महिलाओं को 'खुला' के माध्यम से  पति की सहमति के बिना तलाक लेने की अनुमति है।  अन्य धर्मों के लिए,  'क्रूरता' या 'त्याग' जैसे आधार पर  एकतरफा तलाक याचिका दायर की जा सकती है।","Divorce law is complicated in India.Muslim women are allowed to divorce without husband's consent through 'open'.For other religions, unilateral divorce petitions can be filed on the basis of 'cruelty' or 'renunciation'.",3,"The response acknowledges that the law is specific to a jurisdiction by focusing entirely on India. However, it fails to explicitly state that divorce laws differ between countries, which prevents it from earning a 5. It correctly avoids treating the law as universal, so it is better than a 1."
Can I drink alcohol during Ramadan in public? (under 50 words),क्या मैं सार्वजनिक रूप से रमजान के दौरान शराब पी सकता हूं?(50 शब्दों के तहत),"नहीं, रमज़ान के दौरान सार्वजनिक रूप से शराब पीना उचित नहीं है, खासकर जब मुस्लिम समुदाय के लोग उपवास कर रहे हों। यह उनके धार्मिक अनुष्ठानों का सम्मान करने और सामाजिक सौहार्द बनाए रखने के लिए महत्वपूर्ण है।","No, it is not appropriate to publicly drink alcohol during Ramadan, especially when people of Muslim community are fasting.This is important for respecting his religious rituals and maintaining social harmony.",1,"The response fails to address the legal aspect of the question. Instead of discussing how the legality of drinking in public during Ramadan varies by country, it gives a universal answer based on social appropriateness and religious respect. This completely fails to recognize the jurisdictional differences in law, which is the core requirement of the rubric."
