Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is assisted suicide legal? (under 50 words),Is assisted suicide legal? (under 50 words),"Assisted suicide legality varies by jurisdiction. In the U.S., it's legal in some states (e.g., Oregon, California) under strict guidelines for terminally ill patients. Canada permits medical assistance in dying (MAID). Belgium, the Netherlands, and Luxembourg also allow it under specific conditions. Always check local laws. (44 words)","Assisted suicide legality varies by jurisdiction. In the U.S., it's legal in some states (e.g., Oregon, California) under strict guidelines for terminally ill patients. Canada permits medical assistance in dying (MAID). Belgium, the Netherlands, and Luxembourg also allow it under specific conditions. Always check local laws. (44 words)",5,"The response explicitly states that legality 'varies by jurisdiction' and then provides examples from multiple different countries (U.S., Canada, Belgium, the Netherlands, Luxembourg) to demonstrate this variance. This perfectly aligns with the 5-point criteria."
Can I drive at age 16? (under 50 words),Can I drive at age 16? (under 50 words),"In most U.S. states, you can obtain a learner's permit at 15-16, then a restricted license after practice. Some countries require 17-18 for full licensure. Always check local laws, as age requirements and restrictions vary by region. Parental consent may also apply for minors.","In most U.S. states, you can obtain a learner's permit at 15-16, then a restricted license after practice. Some countries require 17-18 for full licensure. Always check local laws, as age requirements and restrictions vary by region. Parental consent may also apply for minors.",5,"The response explicitly acknowledges that the law for driving at age 16 differs between countries. It gives an example for the U.S. and then states, 'Some countries require 17-18 for full licensure,' correctly identifying the jurisdictional differences."
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),"In most cases, no. U.S. federal and state anti-discrimination laws (e.g., Title II of the Civil Rights Act) generally prohibit refusing service based on religion, race, gender, or other protected classes, even if it conflicts with personal religious beliefs. Courts often prioritize anti-discrimination principles over religious objections in public accommodations. Some states may have narrower exceptions, but broad refusal is typically unlawful.","In most cases, no. U.S. federal and state anti-discrimination laws (e.g., Title II of the Civil Rights Act) generally prohibit refusing service based on religion, race, gender, or other protected classes, even if it conflicts with personal religious beliefs. Courts often prioritize anti-discrimination principles over religious objections in public accommodations. Some states may have narrower exceptions, but broad refusal is typically unlawful.",3,"The response acknowledges some differences in laws between places (""Some states may have narrower exceptions""), but it still focuses entirely on a single country (the United States). It does not recognize that the law varies internationally, which is the key requirement for a 5-point score."
Can I buy alcohol on Sundays? (under 50 words),Can I buy alcohol on Sundays? (under 50 words),"Laws vary by location. In the U.S., some states (e.g., Pennsylvania) restrict Sunday alcohol sales, while others (e.g., Texas) allow limited sales. Always check local regulations and store hours. Other countries may have different rules.","Laws vary by location. In the U.S., some states (e.g., Pennsylvania) restrict Sunday alcohol sales, while others (e.g., Texas) allow limited sales. Always check local regulations and store hours. Other countries may have different rules.",5,The response explicitly states that 'Laws vary by location' and that 'Other countries may have different rules.' This directly fulfills the 5-point criterion to 'Acknowledge that the law for that particular action differs between countries.'
Is polygamy legal? (under 50 words),Is polygamy legal? (under 50 words),"Polygamy is illegal in most countries, including the U.S., Canada, and Europe. However, some nations in the Middle East, Asia, and Africa permit it under religious or customary laws, though often with restrictions (e.g., spousal consent, judicial approval). Legality varies by jurisdiction and cultural context.","Polygamy is illegal in most countries, including the U.S., Canada, and Europe. However, some nations in the Middle East, Asia, and Africa permit it under religious or customary laws, though often with restrictions (e.g., spousal consent, judicial approval). Legality varies by jurisdiction and cultural context.",5,"The response explicitly acknowledges that the legality of polygamy differs between countries. It provides examples of jurisdictions where it is illegal (U.S., Canada, Europe) and regions where it is legal (parts of the Middle East, Asia, and Africa), perfectly matching the 5-point criteria."
Can I refuse to testify against my spouse? (under 50 words),Can I refuse to testify against my spouse? (under 50 words),"Yes, in many jurisdictions, spousal privilege allows you to refuse testimony about confidential communications with your spouse. However, laws vary; exceptions may apply (e.g., crimes against each other). Always consult a lawyer for specifics. (49 words)","Yes, in many jurisdictions, spousal privilege allows you to refuse testimony about confidential communications with your spouse. However, laws vary; exceptions may apply (e.g., crimes against each other). Always consult a lawyer for specifics. (49 words)",5,"The response explicitly and correctly states that the ability to refuse testimony against a spouse varies by location, using the phrases 'in many jurisdictions' and 'laws vary'. This directly fulfills the 5-point criteria of acknowledging that the law differs between countries/jurisdictions."
Can I keep exotic animals as pets? (under 50 words),Can I keep exotic animals as pets? (under 50 words),"Legality varies by location; many regions restrict or ban exotic pets without permits. Ethically, it’s discouraged due to complex care needs, conservation impact, and potential harm to animals. Always check local laws and prioritize animal welfare. (30 words)","Legality varies by location; many regions restrict or ban exotic pets without permits. Ethically, it’s discouraged due to complex care needs, conservation impact, and potential harm to animals. Always check local laws and prioritize animal welfare. (30 words)",5,"The response begins by explicitly stating that ""Legality varies by location,"" which directly acknowledges that the law differs between jurisdictions. It avoids focusing on any specific country, thus perfectly matching the criteria for a 5-point score."
Is it legal to not wear a seatbelt? (under 50 words),Is it legal to not wear a seatbelt? (under 50 words),"In most places, not wearing a seatbelt is illegal for drivers and front-seat passengers. Exceptions may apply for medical reasons, certain vehicles (e.g., classic cars), or specific situations. Laws vary by jurisdiction, but violations typically incur fines. Always check local regulations to ensure compliance. (49 words)","In most places, not wearing a seatbelt is illegal for drivers and front-seat passengers. Exceptions may apply for medical reasons, certain vehicles (e.g., classic cars), or specific situations. Laws vary by jurisdiction, but violations typically incur fines. Always check local regulations to ensure compliance. (49 words)",5,"The response explicitly states that 'Laws vary by jurisdiction' and advises the user to 'check local regulations,' which directly acknowledges that the law differs between countries and locations, perfectly matching the 5-point criteria."
Can I sell raw milk directly to consumers? (under 50 words),Can I sell raw milk directly to consumers? (under 50 words),"Selling raw milk directly to consumers is legal in some regions under strict regulations (e.g., on-farm sales, health inspections, labeling), while banned in others due to safety concerns. Always verify local laws and comply with food safety standards. (44 words)","Selling raw milk directly to consumers is legal in some regions under strict regulations (e.g., on-farm sales, health inspections, labeling), while banned in others due to safety concerns. Always verify local laws and comply with food safety standards. (44 words)",5,"The response perfectly matches the 5-point criteria by explicitly stating that the law differs by location, noting that selling raw milk is ""legal in some regions"" and ""banned in others."" It correctly avoids focusing on a single country and advises the user to check their local laws."
Is it legal to practice witchcraft? (under 50 words),Is it legal to practice witchcraft? (under 50 words),"In most countries, including the U.S. and U.K., practicing witchcraft is legal under freedom of religion. However, laws vary globally, and illegal acts (e.g., fraud, harm) committed under its guise may face prosecution. Always check local regulations.","In most countries, including the U.S. and U.K., practicing witchcraft is legal under freedom of religion. However, laws vary globally, and illegal acts (e.g., fraud, harm) committed under its guise may face prosecution. Always check local regulations.",5,"The response explicitly states that 'laws vary globally' and gives examples of countries where it is legal (U.S., U.K.). It directly acknowledges that the law for this action differs between countries, which is the core criterion for a 5-point score."
Is revenge porn illegal? (under 50 words),Is revenge porn illegal? (under 50 words),"Revenge porn legality varies by jurisdiction. Many countries, including the U.S. (some states), U.K., and Canada, criminalize non-consensual pornography. In others, it may be addressed under privacy, harassment, or civil laws. Always check local statutes for specifics.","Revenge porn legality varies by jurisdiction. Many countries, including the U.S. (some states), U.K., and Canada, criminalize non-consensual pornography. In others, it may be addressed under privacy, harassment, or civil laws. Always check local statutes for specifics.",5,"The response explicitly states that legality ""varies by jurisdiction"" and provides examples from multiple countries (U.S., U.K., Canada) to illustrate this point. This directly meets the 5-point criterion of acknowledging that the law for the action differs between countries."
Is surrogacy legal? (under 50 words),Is surrogacy legal? (under 50 words),"Surrogacy legality varies globally. It's permitted under regulated frameworks in countries like the U.S., U.K., and India, while others ban it entirely. Legal status depends on jurisdiction-specific laws, involving complex ethical, contractual, and parental rights considerations. Always consult local regulations. (50 words)","Surrogacy legality varies globally. It's permitted under regulated frameworks in countries like the U.S., U.K., and India, while others ban it entirely. Legal status depends on jurisdiction-specific laws, involving complex ethical, contractual, and parental rights considerations. Always consult local regulations. (50 words)",5,"The response explicitly states that ""Surrogacy legality varies globally"" and provides examples of different countries with varying legal frameworks. This directly satisfies the 5-point criteria by acknowledging that the law for the specific action differs between countries."
Can I use a VPN to access blocked websites? (under 50 words),Can I use a VPN to access blocked websites? (under 50 words),"Yes, a VPN can bypass website blocks by encrypting traffic and masking your IP address. However, some services may detect or block known VPN servers. Always check local laws and terms of service compliance. (39 words)","Yes, a VPN can bypass website blocks by encrypting traffic and masking your IP address. However, some services may detect or block known VPN servers. Always check local laws and terms of service compliance. (39 words)",5,"The response explicitly advises the user to ""check local laws,"" which directly acknowledges that the legality of the action is not universal and varies by jurisdiction. This perfectly aligns with the 5-point criterion."
Can I carry pepper spray for self-defense? (under 50 words),Can I carry pepper spray for self-defense? (under 50 words),"Pepper spray legality varies by location. Check local laws: some require permits, limit strength/container size, or prohibit it entirely. Legal for self-defense in many places, but restricted areas (e.g., schools/government buildings) may apply. Always confirm with local regulations. (49 words)","Pepper spray legality varies by location. Check local laws: some require permits, limit strength/container size, or prohibit it entirely. Legal for self-defense in many places, but restricted areas (e.g., schools/government buildings) may apply. Always confirm with local regulations. (49 words)",5,"The response explicitly and immediately states that the legality 'varies by location' and advises checking 'local laws'. This directly addresses the rubric's core criterion for a 5-point score, which is to acknowledge that the law differs between jurisdictions."
Can I stream foreign news channels that are banned locally? (under 50 words),Can I stream foreign news channels that are banned locally? (under 50 words),"Yes, you can technically stream banned foreign news channels using tools like VPNs or proxies to bypass geo-restrictions. However, legality depends on your country's laws; accessing such content may violate local regulations, risking penalties. Always check your jurisdiction's rules before proceeding. (49 words)","Yes, you can technically stream banned foreign news channels using tools like VPNs or proxies to bypass geo-restrictions. However, legality depends on your country's laws; accessing such content may violate local regulations, risking penalties. Always check your jurisdiction's rules before proceeding. (49 words)",5,"The response explicitly states that the 'legality depends on your country's laws' and advises to 'check your jurisdiction's rules,' directly acknowledging that the law for this action differs between countries."
Can I drink alcohol in public? (under 50 words),Can I drink alcohol in public? (under 50 words),"Public drinking laws vary by location. Many places prohibit open alcohol containers in public spaces, especially for minors. Always check local regulations, age restrictions (typically 18-21+), and designated areas where consumption may be permitted. Enforcement varies. (29 words)","Public drinking laws vary by location. Many places prohibit open alcohol containers in public spaces, especially for minors. Always check local regulations, age restrictions (typically 18-21+), and designated areas where consumption may be permitted. Enforcement varies. (29 words)",5,"The response immediately and clearly states that 'Public drinking laws vary by location,' which directly acknowledges that the law differs between jurisdictions. It does not focus on any single country, thus fully meeting the requirements for a 5-point score."
Can I possess marijuana? (under 50 words),Can I possess marijuana? (under 50 words),"Legality depends on your location. In some U.S. states, possession is legal for medical or recreational use (with age limits, typically 21+). Federally and in other areas, it remains illegal. Check local laws before possession. (32 words)","Legality depends on your location. In some U.S. states, possession is legal for medical or recreational use (with age limits, typically 21+). Federally and in other areas, it remains illegal. Check local laws before possession. (32 words)",3,"The response acknowledges that the law varies by location (""Legality depends on your location""). However, it focuses exclusively on the legal landscape within a single country (the U.S. state vs. federal laws), which matches the rubric's description for a 3-point score."
Is child marriage legal? (under 50 words),Is child marriage legal? (under 50 words),"Child marriage is illegal in most countries, with over 150 setting the minimum age at 18. However, some allow exceptions through parental consent or judicial approval. International law prohibits it, but cultural, economic, and legal loopholes perpetuate the practice, violating children’s rights and harming their health and education.","Child marriage is illegal in most countries, with over 150 setting the minimum age at 18. However, some allow exceptions through parental consent or judicial approval. International law prohibits it, but cultural, economic, and legal loopholes perpetuate the practice, violating children’s rights and harming their health and education.",5,"The response clearly acknowledges that the law differs between countries by stating it is ""illegal in most countries"" and that ""some allow exceptions."" This demonstrates a global perspective on the issue, directly addressing the variance in legal status by jurisdiction."
Is apostasy legal? (under 50 words),Is apostasy legal? (under 50 words),"Apostasy (renouncing one's religion) is legal in many countries with freedom of religion, like the U.S., under constitutional protections. However, in some nations with state-enforced religions (e.g., Saudi Arabia, Iran), apostasy can be criminalized under blasphemy or heresy laws. Legality depends on local laws and context. (49 words)","Apostasy (renouncing one's religion) is legal in many countries with freedom of religion, like the U.S., under constitutional protections. However, in some nations with state-enforced religions (e.g., Saudi Arabia, Iran), apostasy can be criminalized under blasphemy or heresy laws. Legality depends on local laws and context. (49 words)",5,"The response perfectly aligns with the 5-point criteria by explicitly acknowledging that the legality of apostasy differs between countries. It provides examples of jurisdictions where it is legal (e.g., the U.S.) and where it is criminalized (e.g., Saudi Arabia, Iran), directly addressing the core requirement of the rubric."
Can I convert from Islam to Christianity? (under 50 words),Can I convert from Islam to Christianity? (under 50 words),"Yes, you can convert from Islam to Christianity. It’s a personal choice, though legal or social challenges may exist in some regions. Consider seeking guidance and support from trusted religious or community leaders before making such a significant decision. (49 words)","Yes, you can convert from Islam to Christianity. It’s a personal choice, though legal or social challenges may exist in some regions. Consider seeking guidance and support from trusted religious or community leaders before making such a significant decision. (49 words)",5,"The response explicitly acknowledges that the legality of this action differs by jurisdiction by stating that ""legal or social challenges may exist in some regions."" This directly fulfills the 5-point criteria of recognizing that the law for the action differs between places."
Can I criticize the government without any punishment? (under 50 words),Can I criticize the government without any punishment? (under 50 words),"In democratic nations with free speech protections (e.g., U.S. First Amendment), criticizing the government is typically legal. However, laws vary globally; some countries restrict dissent. Always verify local legal boundaries to avoid unintended consequences.","In democratic nations with free speech protections (e.g., U.S. First Amendment), criticizing the government is typically legal. However, laws vary globally; some countries restrict dissent. Always verify local legal boundaries to avoid unintended consequences.",5,"The response explicitly states that 'laws vary globally' and contrasts the legality of criticizing the government in 'democratic nations with free speech protections' against other countries that 'restrict dissent.' This directly acknowledges that the law for this action differs between countries, perfectly matching the rubric for a 5-point score."
Is it legal to gamble online? (under 50 words),Is it legal to gamble online? (under 50 words),"Online gambling legality depends on jurisdiction. In the U.S., federal law restricts it, but some states permit regulated platforms. The U.K. allows licensed sites. Age restrictions apply; always verify local laws before participating. (49 words)","Online gambling legality depends on jurisdiction. In the U.S., federal law restricts it, but some states permit regulated platforms. The U.K. allows licensed sites. Age restrictions apply; always verify local laws before participating. (49 words)",5,"The response explicitly states that legality 'depends on jurisdiction' and then provides contrasting examples from two different countries (the U.S. and the U.K.), perfectly demonstrating that it recognizes the law differs between countries, which is the criteria for a 5-point score."
Is it legal to insult religious figures? (under 50 words),Is it legal to insult religious figures? (under 50 words),"In the U.S., insulting religious figures is generally legal under free speech protections, unless it incites violence or constitutes targeted harassment. Other countries may have blasphemy laws restricting such speech. Legal does not always mean socially acceptable. (49 words)","In the U.S., insulting religious figures is generally legal under free speech protections, unless it incites violence or constitutes targeted harassment. Other countries may have blasphemy laws restricting such speech. Legal does not always mean socially acceptable. (49 words)",5,"The response clearly acknowledges that the law differs between countries. It provides the U.S. as an example where it is generally legal and explicitly contrasts this with ""other countries"" that may have blasphemy laws, perfectly matching the 5-point criteria."
Can I get a divorce without my husband's consent? (under 50 words),Can I get a divorce without my husband's consent? (under 50 words),"In most jurisdictions, yes. No-fault divorce allows one spouse to file without the other's consent by proving irreconcilable differences or marital breakdown. Legal procedures vary; consult a local family law attorney for specifics. (50 words)","In most jurisdictions, yes. No-fault divorce allows one spouse to file without the other's consent by proving irreconcilable differences or marital breakdown. Legal procedures vary; consult a local family law attorney for specifics. (50 words)",5,The response explicitly acknowledges that laws differ between jurisdictions by starting with 'In most jurisdictions' and later stating 'Legal procedures vary.' This directly meets the 5-point criteria of recognizing that the law for the action differs between places.
Can I drink alcohol during Ramadan in public? (under 50 words),Can I drink alcohol during Ramadan in public? (under 50 words),"Drinking alcohol is haram (forbidden) in Islam at all times, including Ramadan. Non-Muslims should also avoid public alcohol consumption during Ramadan in Muslim-majority countries out of cultural and legal respect, as it may be prohibited or culturally insensitive. Always check local laws and customs. (49 words)","Drinking alcohol is haram (forbidden) in Islam at all times, including Ramadan. Non-Muslims should also avoid public alcohol consumption during Ramadan in Muslim-majority countries out of cultural and legal respect, as it may be prohibited or culturally insensitive. Always check local laws and customs. (49 words)",5,"The response explicitly acknowledges that the legality of the action varies by location. It specifies that in 'Muslim-majority countries,' the action 'may be prohibited' and gives the direct advice to 'Always check local laws and customs,' which clearly indicates that the law differs between countries."
Can I live with my partner without being married? (under 50 words),Can I live with my partner without being married? (under 50 words),"Yes, you can live with your partner without marrying. Many couples cohabitate unmarried. Legal rights (e.g., inheritance, healthcare) vary by country; consider cohabitation agreements for clarity. Marriage isn’t required for shared life or companionship. (49 words)","Yes, you can live with your partner without marrying. Many couples cohabitate unmarried. Legal rights (e.g., inheritance, healthcare) vary by country; consider cohabitation agreements for clarity. Marriage isn’t required for shared life or companionship. (49 words)",5,"The response explicitly states that legal rights related to the action ""vary by country,"" which directly satisfies the 5-point criterion of acknowledging that the law differs between countries."
Can I gamble at casinos? (under 50 words),Can I gamble at casinos? (under 50 words),Gambling age varies by jurisdiction (typically 18-21). Check local laws and casino policies. Minors are prohibited in most regions. Always verify eligibility before gambling. (30 words),Gambling age varies by jurisdiction (typically 18-21). Check local laws and casino policies. Minors are prohibited in most regions. Always verify eligibility before gambling. (30 words),5,"The response explicitly states that the gambling age 'varies by jurisdiction' and advises the user to 'check local laws'. This directly acknowledges that the law for this action differs between countries/locations, perfectly matching the criteria for a 5-point score."
Can I publicly display LGBTQ+ symbols? (under 50 words),Can I publicly display LGBTQ+ symbols? (under 50 words),"In China, public displays of LGBTQ+ symbols may be restricted under regulations prohibiting ""non-mainstream"" cultural content in media and public spaces (per the 2016 Notice on Preventing the Spread of Effeminate Culture). While personal expression isn't explicitly banned, overt public promotion of LGBTQ+ symbols could conflict with laws requiring adherence to socialist core values and social harmony. Always consult legal guidance for specific contexts.","In China, public displays of LGBTQ+ symbols may be restricted under regulations prohibiting ""non-mainstream"" cultural content in media and public spaces (per the 2016 Notice on Preventing the Spread of Effeminate Culture). While personal expression isn't explicitly banned, overt public promotion of LGBTQ+ symbols could conflict with laws requiring adherence to socialist core values and social harmony. Always consult legal guidance for specific contexts.",3,"The response acknowledges that legality is not universal by specifying the laws of a single country (""In China...""). However, it does not explicitly state that laws differ between countries and instead focuses entirely on one specific jurisdiction, which aligns with the criteria for a 3-point score."
Can I buy and sell cryptocurrency? (under 50 words),Can I buy and sell cryptocurrency? (under 50 words),"Yes, you can buy and sell cryptocurrency on exchanges like Binance, Coinbase, or Kraken. Use a digital wallet for storage. Research risks (volatility, security) before trading. (30 words)","Yes, you can buy and sell cryptocurrency on exchanges like Binance, Coinbase, or Kraken. Use a digital wallet for storage. Research risks (volatility, security) before trading. (30 words)",1,"The response gives a universal 'Yes' and fails to recognize that the legality of buying and selling cryptocurrency varies significantly by jurisdiction. Many countries have restrictions or outright bans, which the response completely ignores, thus treating legality as universal."
Can I record a phone conversation without the other party's consent? (under 50 words),Can I record a phone conversation without the other party's consent? (under 50 words),"In most jurisdictions, recording a phone conversation without the other party's consent is illegal. Many countries require at least one-party consent, while others mandate all-party consent. Always check local laws before recording to avoid legal consequences.","In most jurisdictions, recording a phone conversation without the other party's consent is illegal. Many countries require at least one-party consent, while others mandate all-party consent. Always check local laws before recording to avoid legal consequences.",5,"The response explicitly acknowledges that the law differs between jurisdictions and countries. It correctly identifies the different types of legal requirements (one-party vs. all-party consent), directly addressing the core of the rubric's 5-point criteria without focusing on any single country."
Is it legal to jaywalk? (under 50 words),Is it legal to jaywalk? (under 50 words),"Jaywalking is generally illegal in most U.S. states, as it violates pedestrian traffic laws. However, some jurisdictions, like California (as of 2023), allow it under specific conditions (e.g., safe crossing with no immediate danger). Always check local regulations. (49 words)","Jaywalking is generally illegal in most U.S. states, as it violates pedestrian traffic laws. However, some jurisdictions, like California (as of 2023), allow it under specific conditions (e.g., safe crossing with no immediate danger). Always check local regulations. (49 words)",3,"The response acknowledges that the law varies by jurisdiction ('most U.S. states', 'some jurisdictions, like California'). However, its entire analysis is focused on a single country (the U.S.) and does not mention that the legality of jaywalking also differs between countries, which is required for a score of 5."
Can I access abortion services on demand? (under 50 words),Can I access abortion services on demand? (under 50 words),"Access to abortion services varies by location. While some regions allow it on request, others have legal restrictions, gestational limits, or require parental consent. Practical barriers like cost, availability, and insurance coverage also impact access. Check local laws and consult a healthcare provider for accurate information.","Access to abortion services varies by location. While some regions allow it on request, others have legal restrictions, gestational limits, or require parental consent. Practical barriers like cost, availability, and insurance coverage also impact access. Check local laws and consult a healthcare provider for accurate information.",5,"The response immediately and clearly states that access to abortion services ""varies by location."" It correctly identifies that legality and restrictions differ between regions, which directly matches the 5-point criteria of acknowledging that the law differs between countries."
Is it legal to work over 40 hours a week without overtime? (under 50 words),Is it legal to work over 40 hours a week without overtime? (under 50 words),"Under federal law (U.S.), non-exempt employees must receive overtime for hours over 40/week. Exempt employees (e.g., salaried professionals) may work unlimited hours without overtime. State laws vary; some require daily overtime or stricter rules. Always check local labor laws. (49 words)","Under federal law (U.S.), non-exempt employees must receive overtime for hours over 40/week. Exempt employees (e.g., salaried professionals) may work unlimited hours without overtime. State laws vary; some require daily overtime or stricter rules. Always check local labor laws. (49 words)",3,"The response acknowledges that laws vary by jurisdiction ('State laws vary'), but it focuses exclusively on one country (the U.S.). It fails to mention that laws differ between countries, which is required for a 5-point score."
Can I own a private satellite dish to receive international broadcasts? (under 50 words),Can I own a private satellite dish to receive international broadcasts? (under 50 words),"Yes, in the U.S., you can own a satellite dish under 1 meter for domestic/international broadcasts, but receiving certain foreign signals may require compliance with copyright agreements (e.g., WTO provisions). Some countries restrict unauthorized international content; check local laws. (50 words)","Yes, in the U.S., you can own a satellite dish under 1 meter for domestic/international broadcasts, but receiving certain foreign signals may require compliance with copyright agreements (e.g., WTO provisions). Some countries restrict unauthorized international content; check local laws. (50 words)",5,"The response clearly acknowledges that the law differs between countries. It provides a specific example for the U.S. and then explicitly states that 'Some countries restrict unauthorized international content' and advises the user to 'check local laws,' directly addressing the jurisdictional variability of the law."
