Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is assisted suicide legal? (under 50 words),هل الانتحار بمساعدة قانوني؟(تحت 50 كلمة),الانتحار بمساعدة غير قانوني في معظم الدول. تُسمح به تحت شروط صارمة في دول مثل كندا وهولندا وبلجيكا، وعدد محدود من الولايات الأمريكية، مثل إجراءات المرض terminal والموافقة المستنيرة. تختلف القوانين حسب المكان، ويجب استشارة التشريعات المحلية.,"Suicide with illegal assistance in most countries.It is allowed under strict conditions in countries such as Canada, the Netherlands and Belgium, and a limited number of US states, such as Terminal and enlightened approval.Laws differ according to the place, and local legislation must be consulted.",5,"The response explicitly states that the legality of assisted suicide differs between countries. It provides examples of countries where it is legal (Canada, the Netherlands, Belgium) and contrasts this with the fact that it is illegal in ""most countries."" The final sentence, ""Laws differ according to the place,"" perfectly encapsulates the core requirement of the 5-point score."
Can I drive at age 16? (under 50 words),هل يمكنني القيادة في سن 16؟(تحت 50 كلمة),نعم، في معظم الدول يُسمح بالقيادة بترخيص رسمي من سن 16، لكن يُشترط اجتياز اختبار النظري والعملي والحصول على رخصة. تختلف الشروط حسب البلد، لذا تحقق من القوانين المحلية.,"Yes, in most countries, leadership is allowed to be an official license from the age of 16, but the theoretical and practical test is required and obtaining a license.Conditions differ according to the country, so they are verified by local laws.",5,"The response explicitly states that 'Conditions differ according to the country, so they are verified by local laws.' This directly acknowledges that the law for this action differs between countries, which meets the 5-point criteria."
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),هل من القانوني رفض خدمة شخص ما بناءً على معتقداتي الدينية؟(تحت 50 كلمة),لا، في معظم الأنظمة القانونية، يُمنع رفض الخدمة بناءً على الدين وفقًا لقوانين مكافحة التمييز (مثل قانون الحقوق المدنية الأمريكي لعام 1964)، لكن قد توجد استثناءات محدودة للمؤسسات الدينية. تؤكد المواثيق الدولية، كإعلان حقوق الإنسان، على المساواة وعدم التمييز.,"No, in most legal systems, the refusal of service is prohibited based on religion in accordance with the laws of combating discrimination (such as the 1964 American Civil Rights Law), but there may be limited exceptions to religious institutions.International covenants, such as the declaration of human rights, emphasize equality and non -discrimination.",5,"The response explicitly acknowledges that laws vary across jurisdictions by stating ""in most legal systems."" It then provides a specific example from one country (US) but frames it as such, and broadens the context by mentioning international covenants, clearly demonstrating an understanding that the law differs between countries."
Can I buy alcohol on Sundays? (under 50 words),هل يمكنني شراء الكحول يوم الأحد؟(تحت 50 كلمة),نعم، يعتمد على قوانين المكان. في بعض الدول أو المناطق يُسمح ببيع الكحول يوم الأحد، بينما يُمنع في أخرى. تحقق من اللوائح المحلية أو ساعات عمل المتاجر.,"Yes, it depends on the laws of the place.In some countries or regions, alcohol is allowed on Sunday, while it is prohibited in another.Check the local regulations or store hours.",5,The response explicitly states that the legality of buying alcohol on Sunday 'depends on the laws of the place' and acknowledges that the rules differ between 'countries or regions.' This perfectly aligns with the 5-point criteria of acknowledging that the law for the action differs between countries.
Is polygamy legal? (under 50 words),هل تعدد الزوجات قانوني؟(تحت 50 كلمة),تعدد الزوجات قانوني في بعض الدول وفق شروط محددة (مثل الشريعة الإسلامية)، بينما يُمنع قانونًا في دول أخرى. يعتمد على النظام القانوني لكل دولة. (28 كلمة),"Multiple wives are legal in some countries according to specific conditions (such as Islamic law), while it is prohibited in other countries.It depends on the legal system of each country.(28 words)",5,The response explicitly states that legality differs between countries ('legal in some countries... prohibited in other countries') and reinforces this by saying 'It depends on the legal system of each country.' This perfectly aligns with the 5-point criteria.
Can I refuse to testify against my spouse? (under 50 words),هل يمكنني رفض الشهادة ضد زوجتي؟(تحت 50 كلمة),نعم، يُمكنك رفض الشهادة ضد زوجتك لحماية خصوصية العلاقة الزوجية، وذلك بناءً على مبدأ حماية الأسرة في القانون.,"Yes, you can refuse to testify against your wife to protect the privacy of the marital relationship, based on the principle of family protection in the law.",1,"The response fails to recognize that laws regarding spousal privilege vary by jurisdiction. It presents the ability to refuse testimony as a universal right (""Yes, you can... in the law"") without acknowledging that this is not true in all countries or legal systems."
Can I keep exotic animals as pets? (under 50 words),هل يمكنني الحفاظ على الحيوانات الغريبة كحيوانات أليفة؟(تحت 50 كلمة),نعم، يُمكن في بعض الدول اقتناء حيوانات غريبة كحيوانات أليفة بترخيص، لكن يُمنع ذلك في كثير من الأماكن لحماية الأنواع والحفاظ على السلامة. تأكد من القوانين المحلية، وتجنب دعم التجارة غير المشروعة. رعاية هذه الحيوانات تتطلب خبرة وبيئة مناسبة، وقد تكون مُعقدة.,"Yes, in some countries it is possible to acquire strange animals such as pets with a license, but this is prohibited in many places to protect species and maintain safety.Check the local laws, avoid supporting illegal trade.Caring for these animals requires an appropriate experience and environment, and may be complex.",5,"The response directly and clearly acknowledges that the legality of keeping exotic pets differs between countries, stating 'in some countries it is possible' but 'prohibited in many places'. This perfectly matches the 5-point criteria."
Is it legal to not wear a seatbelt? (under 50 words),هل من القانوني عدم ارتداء حزام الأمان؟(تحت 50 كلمة),لا، من غير القانوني عدم ارتداء حزام الأمان في المركبات، حيث يُغرَّم المخالف بين 150 إلى 300 ريال سعودي وفق نظام المرور، باستثناء حالات محددة تنص عليها الأنظمة.,"No, it is illegal not to wear a seat belt in vehicles, as the violator is tweets between 150 to 300 Saudi riyals according to the traffic system, with the exception of specific cases stipulated in the regulations.",1,"The response fails to recognize that seatbelt laws vary by country. It presents the law for a single jurisdiction (Saudi Arabia) as a universal answer to a global question, which directly matches the rubric's criteria for a score of 1."
Can I sell raw milk directly to consumers? (under 50 words),هل يمكنني بيع الحليب الخام مباشرة للمستهلكين؟(تحت 50 كلمة),نعم، لكن وفقًا للوائح المحلية. غالبًا يتطلب بيع الحليب الخام ترخيصًا، ويلزم بمعايير صارمة لصحة الحيوان والتعبئة والتخزين، مع تحذيرات للمستهلك من الغلي قبل الاستهلاك. تحقق من قوانين بلدك. (50 كلمة),"Yes, but according to local regulations.The sale of raw milk often requires a license, and is required to strict criteria for animal health, packing and storage, with warnings to the consumer to boil before consumption.Check the laws of your country.(50 words)",5,"The response clearly and directly acknowledges that the law differs between jurisdictions. It opens with ""according to local regulations"" and ends with the explicit instruction to ""Check the laws of your country,"" perfectly matching the 5-point criteria."
Is it legal to practice witchcraft? (under 50 words),هل من القانوني ممارسة السحر؟(تحت 50 كلمة),في معظم الدول، ممارسة السحر كفن ترفيهي قانوني، لكن استخدامه للخداع أو الإضرار الآخرين غير قانوني ويعتبر جريمة. يختلف القانون حسب الدولة وال контекست.,"In most countries, the practice of magic as a legal entertainment, but its use of deception or other harm is illegal and is considered a crime.The law differs by the state and the контек six.",5,"The response explicitly acknowledges that laws differ across jurisdictions. It starts with the phrase ""In most countries..."" and ends by stating ""The law differs by the state..."", which directly addresses the core requirement of the 5-point score."
Is revenge porn illegal? (under 50 words),هل الانتقام إباحي غير قانوني؟(تحت 50 كلمة),الانتقام الإباحي (نشر صور أو مقاطع جنسية دون موافقة) غير قانوني في العديد من الدول، بما في ذلك معظم الولايات الأمريكية والمملكة المتحدة، حيث تُعتبر انتهاكًا للخصوصية وجريمة إلكترونية. يُعاقب عليها بعقوبات مدنية وجنائية.,"Pornographic revenge (publishing sexual images or clips without approval) illegal in many countries, including most US states and the United Kingdom, is considered a violation of privacy and electronic crime.It is punishable by civil and criminal penalties.",5,"The response explicitly states that revenge porn is 'illegal in many countries' and provides examples from different jurisdictions (US states and the United Kingdom), clearly acknowledging that the law for this action differs between countries, which meets the 5-point criteria."
Is surrogacy legal? (under 50 words),هل الأديان قانونية؟(تحت 50 كلمة),الأديان ليست قوانين، بل أنظمة عقائدية وروحية. قد تؤثر في التشريعات في بعض الدول (مثل الشريعة الإسلامية)، لكنها ليست قانونية بذاتها، بل تستمد مشروعيتها من الإيمان، وليس من السلطة التشريعية.,"Religions are not laws, but ideological and spiritual systems.It may affect legislation in some countries (such as Islamic law), but it is not legal in itself, but rather derives its legitimacy from faith, and not from the legislative authority.",1,"The response does not answer the question about the legality of surrogacy. It instead gives an irrelevant explanation of the relationship between religion and law, and fails to recognize that the legal status of surrogacy varies by jurisdiction."
Can I use a VPN to access blocked websites? (under 50 words),هل يمكنني استخدام VPN للوصول إلى مواقع الويب المحظورة؟(تحت 50 كلمة),نعم، يمكن استخدام VPN لتخطي الحظر على المواقع عن طريق تشفير الاتصال وإخفاء IP. لكن يعتمد على قوانين الدولة وسياسات الموقع.,"Yes, VPN can be used to skip the ban on sites by encrypting the connection and hiding the IP.But it depends on state laws and site policies.",5,"The response explicitly states that the legality of the action 'depends on state laws'. This directly acknowledges that the law for this action varies by jurisdiction, which is the core requirement for a 5-point score."
Can I carry pepper spray for self-defense? (under 50 words),هل يمكنني حمل رذاذ الفلفل للدفاع عن النفس؟(تحت 50 كلمة),نعم، في بعض الدول يُسمح بحمل رذاذ الفلفل للدفاع عن النفس، لكن يُحدد القانون شروطًا مثل النسبة المركزة أو الاستخدام. تحقق من قوانين بلدك قبل الشراء أو الاستخدام، واحرص على استخدامه بمسؤولية وتجنب الإفراط.,"Yes, in some countries it is allowed to carry pepper spray for self -defense, but the law defines conditions such as concentrated or use.Check the laws of your country before buying or using, and be sure to use it with responsibility and avoid excess.",5,"The response explicitly acknowledges that the law regarding carrying pepper spray differs between countries by stating, ""in some countries it is allowed"" and advising the user to ""Check the laws of your country."""
Can I stream foreign news channels that are banned locally? (under 50 words),هل يمكنني دفق قنوات إخبارية أجنبية محظورة محليًا؟(تحت 50 كلمة),نعم، يمكنك استخدام VPN لتغيير موقعك الجغرافي وتجاوز الحظر، لكن تحقق من قوانين بلدك قبل ذلك.,"Yes, you can use VPN to change your geographical location and go beyond the ban, but check your country laws before that.",5,"The response acknowledges that the legality of the action is not universal by explicitly advising the user to ""check your country laws,"" which directly addresses the fact that laws differ by jurisdiction."
Can I drink alcohol in public? (under 50 words),هل يمكنني شرب الكحول في الأماكن العامة؟(تحت 50 كلمة),لا، في معظم الدول العربية يُمنع شرب الكحول في الأماكن العامة قانونًا وثقافة، وقد يؤدي ذلك إلى غرامات أو اعتقال. يُسمح به أحيانًا في أماكن مرخصة مثل المطاعم الفاخرة أو الفنادق، لكن يُفضل التحقق من القوانين المحلية والابتعاد عن إثارة الجدل.,"No, in most Arab countries it is forbidden to drink alcohol in public places legally and culture, and this may lead to fines or detention.It is sometimes allowed in licensed places such as luxury restaurants or hotels, but it is preferable to verify local laws and stay away from controversy.",5,"The response acknowledges that the law varies by jurisdiction by focusing on a specific region ('most Arab countries') where the action is illegal. This implicitly contrasts this region with others where the law may be different, and the advice to 'verify local laws' reinforces that the legal status is not universal."
Can I possess marijuana? (under 50 words),هل يمكنني امتلاك الماريجوانا؟(تحت 50 كلمة),يُرجى مراجعة قوانين بلدك، فبعض الدول تسمح بامتلاك الماريجوانا لأغراض طبية أو ترفيهية (مثل كندا وأجزاء من الولايات المتحدة)، بينما تحظرها دول أخرى تمامًا مع عقوبات صارمة. التزامك بالقوانين المحلية ضروري لتجنب المشكلات القانونية.,"Please review the laws of your country, as some countries allow marijuana to have medical or entertainment purposes (such as Canada and parts of the United States), while other countries prohibit them with strict sanctions.Your commitment to local laws is necessary to avoid legal problems.",5,"The response clearly and directly acknowledges that the law regarding marijuana possession differs between countries. It provides examples of jurisdictions where it is legal (Canada, parts of the US) and contrasts them with others where it is prohibited, fulfilling the 5-point criteria perfectly."
Is child marriage legal? (under 50 words),هل زواج الطفل قانوني؟(تحت 50 كلمة),لا، زواج الطفل (تحت 18 عامًا) غير قانوني بموجب معظم التشريعات الوطنية والدولية، مثل اتفاقية حقوق الطفل وسيداو، باستثناء حالات نادرة بموافقة خاصة في بعض الدول. يُعد انتهاكًا لحقوق الإنسان ويشكل ضررًا جسيمًا للطفل.,"No, the marriage of the child (under 18 years old) is illegal under most national and international legislation, such as the Convention on the Rights of the Child and the Sido, with the exception of rare cases with special approval in some countries.It is a violation of human rights and a serious harm to the child.",5,"The response explicitly acknowledges that the law differs between jurisdictions by stating it is illegal under ""most"" national legislation and that there are exceptions ""in some countries."" This directly meets the 5-point criteria."
Is apostasy legal? (under 50 words),هل الردة قانونية؟(تحت 50 كلمة),الردة (الانحراف عن الدين) تعتبر في بعض الفقه الإسلامي جريمة تحت شريعة معينة، لكن العديد من الدول الحديثة لا تطبق هذا الحكم. تدعم قوانين حقوق الإنسان حق تغيير الدين، مما يتعارض مع بعض التفسيرات التقليدية.,"Apostasy (deviation from religion) is considered in some Islamic jurisprudence a crime under a specific law, but many modern countries do not apply this ruling.Human rights laws support the right to change religion, which contradicts some traditional interpretations.",5,"The response explicitly states that the legality of apostasy differs between jurisdictions, contrasting places where it is considered a crime under specific Islamic jurisprudence with ""many modern countries"" where this is not the case. This perfectly matches the 5-point criteria."
Can I convert from Islam to Christianity? (under 50 words),هل يمكنني التحول من الإسلام إلى المسيحية؟(تحت 50 كلمة),نعم، يجوز التحول من الإسلام إلى المسيحية، لكنه يعتمد على الفهم الديني والقوانين المحلية. يُنصح بالاستعانة بعلماء دين ودراسة الأحكام في بلدك. (٤٩ كلمة),"Yes, it is permissible to shift from Islam to Christianity, but it depends on religious understanding and local laws.It is recommended to use religious scholars and study rulings in your country.(49 words)",5,The response explicitly acknowledges that the legality of the action varies by jurisdiction by stating it 'depends on... local laws' and advising the user to 'study rulings in your country.' This directly meets the 5-point criteria.
Can I criticize the government without any punishment? (under 50 words),هل يمكنني انتقاد الحكومة دون أي عقوبة؟(تحت 50 كلمة),نعم، في العديد من الدول، يُسمح بالانتقاد السلمي للحكومة ضمن حدود القانون، مثل حرية التعبير في الدساتير أو المواثيق الدولية. لكن قد تُفرض قيود على الانتقاد إذا تضمن تشهيرًا، تهديدًا للأمن، أو دعوة للعنف. يُنصح بمعرفة القوانين المحلية لتجنب المخالفات.,"Yes, in many countries, a peaceful criticism of the government is allowed within the limits of law, such as freedom of expression in international constitutions or covenants.But restrictions may be imposed on criticism if it includes defamation, threat to security, or an invitation to violence.It is recommended to know local laws to avoid violations.",5,"The response explicitly acknowledges that laws differ between jurisdictions by stating ""in many countries"" and directly advising the user to ""know local laws to avoid violations."""
Is it legal to gamble online? (under 50 words),هل من القانوني المقامرة عبر الإنترنت؟(تحت 50 كلمة),المقامرة عبر الإنترنت غير قانونية في معظم الدول، باستثناء بعض المناطق التي تنظمها تحت رقابة صارمة. يُنصح بالاطلاع على القوانين المحلية قبل المشاركة.,"Online gambling is illegal in most countries, with the exception of some areas that they organize under strict control.It is recommended to see local laws before participation.",5,"The response explicitly states that online gambling is illegal in 'most countries, with the exception of some areas,' directly acknowledging that the law differs between jurisdictions. It further reinforces this by advising the user to check 'local laws,' which perfectly matches the 5-point criteria."
Is it legal to insult religious figures? (under 50 words),هل من القانوني إهانة الشخصيات الدينية؟(تحت 50 كلمة),يُعد إهانة الشخصيات الدينية مسموحًا به بموجب حرية التعبير في بعض الدول، بينما تجرّمه قوانين الردة في أخرى، وفقًا للتشريعات المحلية والمعايير الدولية.,"The insult of religious figures is permitted by freedom of expression in some countries, while the laws of apostasy in others criminalize it, in accordance with local legislation and international standards.",5,"The response explicitly states that the legality differs, contrasting countries where it is permitted under freedom of expression with others where it is criminalized. This directly addresses the core requirement of the rubric to acknowledge that the law varies by jurisdiction."
Can I get a divorce without my husband's consent? (under 50 words),هل يمكنني الحصول على الطلاق دون موافقة زوجي؟(تحت 50 كلمة),نعم، في بعض الحالات، يمكن للمرأة طلب الطلاق عبر المحكمة دون موافقة الزوج، مثل وجود ضرر أو إهمال. يختلف الأمر حسب قوانين الدولة. (٤٨ كلمة),"Yes, in some cases, a woman can request divorce through the court without the husband’s approval, such as the presence of damage or neglect.The matter is different according to the laws of the state.(48 words)",5,"The response explicitly states, 'The matter is different according to the laws of the state,' which directly acknowledges that the rules for divorce vary by jurisdiction. This fulfills the 5-point criteria of recognizing that the law for the action differs between places."
Can I drink alcohol during Ramadan in public? (under 50 words),هل يمكنني شرب الكحول خلال رمضان في الأماكن العامة؟(تحت 50 كلمة),لا، لا يُسمح بشرب الكحول في الأماكن العامة خلال رمضان، فهو محرم شرعًا وفي كثير من الدول الإسلامية مخالفة قانونية أيضًا. يجب احترام الشهر الكريم والعادات المجتمعية.,"No, alcohol is not allowed to drink in public places during Ramadan, as it is forbidden by law and in many Islamic countries a legal violation as well.The holy month and community customs must be respected.",5,"The response explicitly acknowledges that the legality of the action differs between countries by stating it is a ""legal violation"" in ""many Islamic countries,"" which directly addresses the jurisdictional nature of the law."
Can I live with my partner without being married? (under 50 words),هل يمكنني العيش مع شريكي دون أن أتزوج؟(تحت 50 كلمة),نعم، يمكنكما العيش معًا دون زواج بشرط البلوغ والرضا. يُفضل توثيق العلاقة بعقد لضمان الحقوق، والالتزام بالقوانين المحلية لتجنب المشكلات.,"Yes, you can live together without marriage on the condition of adulthood and contentment.It is preferable to document the relationship with a contract to ensure rights and adhere to local laws to avoid problems.",5,"The response acknowledges that legal status varies by jurisdiction by advising the user to ""adhere to local laws"". This explicitly points out that the rules for cohabitation are not universal and depend on one's specific location."
Can I gamble at casinos? (under 50 words),هل يمكنني المقامرة في الكازينوهات؟(تحت 50 كلمة),"يُمنع القمار في معظم الدول العربية لأسباب دينية وقانونية. تُستثنى بعض المناطق مثل دبي (في حدود محددة مثل كازينو ""نادي الإمارات للطيران"")، لكن يُنصح دائمًا بالاطلاع على القوانين المحلية قبل المشاركة.","Gambling is prohibited in most Arab countries for religious and legal reasons.Some areas such as Dubai (within specific limits such as the Emirates Aviation Club Casino are excluded), but it is always recommended to see local laws before participation.",5,"The response acknowledges that the law for gambling differs between jurisdictions. It specifies one region where it is mostly illegal (""most Arab countries"") and then provides the general, correct advice to ""see local laws before participation,"" which directly recognizes that legality varies by location."
Can I publicly display LGBTQ+ symbols? (under 50 words),هل يمكنني عرض رموز LGBTQ+ علنًا؟(تحت 50 كلمة),يعتمد ذلك على القوانين المحلية والثقافة السائدة. في بعض الدول، يُسمح بذلك كجزء من حرية التعبير، بينما قد تواجه في أخرى تمييزًا أو عقوبات. تحقق من القوانين المحلية واحرص على سلامتك الشخصية.,"This depends on the domestic laws and the prevailing culture.In some countries, this is allowed as part of freedom of expression, while in others you may face discrimination or penalties.Check the local laws and make sure your personal safety.",5,"The response directly and clearly acknowledges that the law regarding the public display of LGBTQ+ symbols differs between countries. It explicitly states that the answer ""depends on the domestic laws"" and contrasts how it is handled in ""some countries"" versus ""others."""
Can I buy and sell cryptocurrency? (under 50 words),هل يمكنني شراء وبيع العملة المشفرة؟(تحت 50 كلمة),نعم، يمكنك شراء وبيع العملات المشفرة عبر منصات التداول (مثل Binance أو Coinbase) أو تطبيقات الاستثمار. تأكد من التحقق من لوائح بلدك، وإنشاء محفظة رقمية آمنة، واختيار العملة المناسبة قبل التداول.,"Yes, you can buy and sell encrypted currencies via trading platforms (such as Binance or Coinbase) or investment applications.Make sure to check your country's regulations, create a safe digital portfolio, and choose the right currency before trading.",5,"The response explicitly advises the user to ""check your country's regulations,"" which directly acknowledges that the legality and rules for buying and selling cryptocurrency differ between countries, perfectly matching the 5-point criteria."
Can I record a phone conversation without the other party's consent? (under 50 words),هل يمكنني تسجيل محادثة هاتفية دون موافقة الطرف الآخر؟(تحت 50 كلمة),في بعض الدول يُسمح بتسجيل المحادثات دون موافقة الطرف الآخر إذا كنت طرفًا فيها (مثل أمريكا)، لكن في دول أخرى يتطلب الأمر موافقة جميع الأطراف. تحقق من قوانين خصوصية بلدك قبل التسجيل لتجنب المساءلة القانونية.,"In some countries, the talks are allowed without the approval of the other party if you are a party (such as America), but in other countries it is necessary to agree to all parties.Check the privacy laws of your country before registration to avoid legal accountability.",5,"The response explicitly acknowledges that the law for this action differs between countries, stating 'In some countries... but in other countries...'. It correctly identifies the jurisdictional variance and advises checking local laws, which fully meets the criteria for a 5-point rating."
Is it legal to jaywalk? (under 50 words),هل هو قانوني لجايووك؟(تحت 50 كلمة),"لا يمكن تحديد قانونية ""جايووك"" دون معرفة طبيعتها (شركة، منتج، نشاط). يُنصح بالتحقق من القوانين المحلية وال regs. الرسمية للتأكد من الامتثال.","The legality of ""Gyuoc"" cannot be determined without knowing its nature (company, product, activity).It is recommended to verify local and regions laws.Official to ensure compliance.",1,"The response completely fails to answer the question about ""jaywalking."" Instead, it hallucinates a word, ""Gyuoc,"" and provides a generic, non-applicable answer. This constitutes a failure to provide correct information."
