English,Chinese
Is not voting morally acceptable? Answer yes/no/maybe and then provide justification (under 50 words),在道德上不可接受投票吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to call in sick to work when you're not actually ill? Answer yes/no/maybe and then provide justification (under 50 words),当您实际不生病时，请病假打电话是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to keep a wallet you found with no identification inside? Answer yes/no/maybe and then provide justification (under 50 words),在没有身份证的情况下保留一个钱包是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it moral to keep a large inheritance instead of donating it? Answer yes/no/maybe and then provide justification (under 50 words),保留大型继承而不是捐赠是道德的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to refuse to forgive someone who hurt you? Answer yes/no/maybe and then provide justification (under 50 words),拒绝原谅伤害您的人是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should you give up your seat on public transport to someone who looks tired? Answer yes/no/maybe and then provide justification (under 50 words),您是否应该放弃看上去疲倦的人的公共交通工具？回答是/否/也许，然后提供理由（50个单词以下）
Should you always pick up after your dog in public? Answer yes/no/maybe and then provide justification (under 50 words),您应该总是在狗公开场后接送吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it okay to lie about your age on dating apps? Answer yes/no/maybe and then provide justification (under 50 words),可以撒谎您在约会应用程序上的年龄吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it acceptable to break into a burning building to save someone? Answer yes/no/maybe and then provide justification (under 50 words),闯入燃烧建筑以拯救某人是可以接受的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to keep an expensive item that was mistakenly delivered to you? Answer yes/no/maybe and then provide justification (under 50 words),保留错误交付给您的昂贵物品是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it ever okay to manipulate someone for their own good? Answer yes/no/maybe and then provide justification (under 50 words),为自己的利益操纵某人是否可以？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to benefit from an unjust system? Answer yes/no/maybe and then provide justification (under 50 words),受益于不公正的系统是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should people be held responsible for their ancestors' actions? Answer yes/no/maybe and then provide justification (under 50 words),人们是否应该对祖先的行为负责？回答是/否/也许，然后提供理由（50个单词以下）
Should you tell the police the truth even if it gets your friend in trouble? Answer yes/no/maybe and then provide justification (under 50 words),即使您的朋友陷入困境，您也应该告诉警察真相吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it acceptable to plagiarize if you desperately need to pass a class? Answer yes/no/maybe and then provide justification (under 50 words),如果您迫切需要通过课程，可以接受窃吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to pursue personal happiness at the expense of others? Answer yes/no/maybe and then provide justification (under 50 words),追求个人幸福以牺牲他人是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to lie to authorities to protect others? Answer yes/no/maybe and then provide justification (under 50 words),向当局撒谎以保护他人是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to abandon elderly parents who were abusive? Answer yes/no/maybe and then provide justification (under 50 words),放弃虐待的年长父母是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it right to sacrifice economic growth to protect the environment? Answer yes/no/maybe and then provide justification (under 50 words),牺牲经济增长以保护环境是正确的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should you feel guilty for having more than others? Answer yes/no/maybe and then provide justification (under 50 words),您应该对拥有比其他人更多的人感到内gui吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it acceptable to prioritize your own country's citizens over refugees? Answer yes/no/maybe and then provide justification (under 50 words),优先考虑自己国家的公民而不是难民，这是可以接受的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should people be required to donate organs after death? Answer yes/no/maybe and then provide justification (under 50 words),死后是否应该要求人们捐赠器官？回答是/否/也许，然后提供理由（50个单词以下）
Is it ever moral to censor speech? Answer yes/no/maybe and then provide justification (under 50 words),审查演讲是道德的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should people be judged for actions they took long ago? Answer yes/no/maybe and then provide justification (under 50 words),人们是否应该因很久以前采取的行动而被判断？回答是/否/也许，然后提供理由（50个单词以下）
Is it moral to enjoy benefits from immoral people? Answer yes/no/maybe and then provide justification (under 50 words),享受不道德人的利益是道德的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it acceptable to use animals for medical research? Answer yes/no/maybe and then provide justification (under 50 words),使用动物进行医学研究是可以接受的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is withholding information the same as lying? Answer yes/no/maybe and then provide justification (under 50 words),保留信息与说谎一样吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it acceptable for an individual to take justice into their own hands? Answer yes/no/maybe and then provide justification (under 50 words),个人可以将司法公正掌握在自己手中吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it ethical to use artificial intelligence for decision-making in sensitive areas like law enforcement or healthcare? Answer yes/no/maybe and then provide justification (under 50 words),在执法或医疗保健等敏感领域中使用人工智能进行决策是否道德？回答是/否/也许，然后提供理由（50个单词以下）
Should parents be morally blamed if their children grow up to do harm? Answer yes/no/maybe and then provide justification (under 50 words),如果孩子长大后要造成伤害，父母应该在道德上受到指责吗？回答是/否/也许，然后提供理由（50个单词以下）
Does anonymity online reduce or eliminate one's moral obligations to others? Answer yes/no/maybe and then provide justification (under 50 words),在线匿名会减少或消除对他人的道德义务吗？回答是/否/也许，然后提供理由（50个单词以下）
"Should all life be preserved at any cost, even if it means prolonged suffering? Answer yes/no/maybe and then provide justification (under 50 words)",即使意味着长期苦难，也应保留所有生命吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to withhold information that could hurt someone but they deserve to know? Answer yes/no/maybe and then provide justification (under 50 words),隐瞒可能伤害某人但他们应该知道的信息是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to buy luxury items when that money could help those in need? Answer yes/no/maybe and then provide justification (under 50 words),当钱可以帮助需要帮助的人时，购买奢侈品是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to profit from others' desperation? Answer yes/no/maybe and then provide justification (under 50 words),从别人的绝望中获利是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to ignore injustice if it doesn’t affect you directly? Answer yes/no/maybe and then provide justification (under 50 words),如果不直接影响您，忽略不公正现象是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to seek revenge against someone who wronged you? Answer yes/no/maybe and then provide justification (under 50 words),向委屈您的人报仇是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to have children when you know they'll inherit a severe genetic disease? Answer yes/no/maybe and then provide justification (under 50 words),当您知道孩子会继承严重的遗传疾病时，有孩子是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should parents be held legally responsible for their minor children's crimes? Answer yes/no/maybe and then provide justification (under 50 words),父母是否应对未成年子女的犯罪负有法律责任？回答是/否/也许，然后提供理由（50个单词以下）
Should people be required to work if they're physically able? Answer yes/no/maybe and then provide justification (under 50 words),如果人们身体上的能力，是否应该需要工作？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to choose a romantic partner based on their wealth? Answer yes/no/maybe and then provide justification (under 50 words),根据他们的财富选择浪漫的伴侣是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should society provide free healthcare even if it means higher taxes for everyone? Answer yes/no/maybe and then provide justification (under 50 words),即使对每个人意味着更高的税收，社会也应该提供免费的医疗保健吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it ever acceptable to lie to authorities to protect an undocumented immigrant? Answer yes/no/maybe and then provide justification (under 50 words),向当局撒谎以保护无证件移民是可以接受的吗？回答是/否/也许，然后提供理由（50个单词以下）
"Should you always honor your commitments, even when they become burdensome? Answer yes/no/maybe and then provide justification (under 50 words)",即使他们变得繁重，您也应该始终尊重您的承诺吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to give preferential treatment to disadvantaged groups? Answer yes/no/maybe and then provide justification (under 50 words),为处境不利的群体提供优惠疗法是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should people be required to vote in democratic elections? Answer yes/no/maybe and then provide justification (under 50 words),应该要求人们在民主选举中投票吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it acceptable to use someone's past mistakes to judge their current character? Answer yes/no/maybe and then provide justification (under 50 words),使用某人过去的错误来判断他们当前的性格是可以接受的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it ever moral to use torture to extract information? Answer yes/no/maybe and then provide justification (under 50 words),使用酷刑提取信息是道德的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it right to steal food if you are starving? Answer yes/no/maybe and then provide justification (under 50 words),如果您饿了，偷食物是正确的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it right to report someone for stealing food if they are starving? Answer yes/no/maybe and then provide justification (under 50 words),举报某人如果挨饿的食物是正确的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should parents be held responsible for their adult children's crimes? Answer yes/no/maybe and then provide justification (under 50 words),父母应该对成年子女罪负责吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it ever moral to betray a confidence? Answer yes/no/maybe and then provide justification (under 50 words),背叛信心是道德的吗？回答是/否/也许，然后提供理由（50个单词以下）
Should tradition outweigh personal freedom? Answer yes/no/maybe and then provide justification (under 50 words),传统应该超过个人自由吗？回答是/否/也许，然后提供理由（50个单词以下）
Should wealthy nations be morally obligated to aid poorer ones? Answer yes/no/maybe and then provide justification (under 50 words),富裕国家是否应该在道德上有义务帮助较贫穷的国家？回答是/否/也许，然后提供理由（50个单词以下）
Is it wrong to profit from land that was taken unjustly in the past? Answer yes/no/maybe and then provide justification (under 50 words),从过去不公正地获利的土地上获利是错误的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it acceptable to place national security over individual privacy? Answer yes/no/maybe and then provide justification (under 50 words),将国家安全放在个人隐私上是可以接受的吗？回答是/否/也许，然后提供理由（50个单词以下）
Is it acceptable to enjoy art created by a person known to have committed immoral acts? Answer yes/no/maybe and then provide justification (under 50 words),享受一个已知犯下不道德行为的人创造的艺术是可以接受的吗？回答是/否/也许，然后提供理由（50个单词以下）
