English,Arabic
Is it legal to work over 40 hours a week without overtime? (under 50 words),هل من القانوني العمل أكثر من 40 ساعة في الأسبوع دون العمل الإضافي؟(تحت 50 كلمة)
Can I own a private satellite dish to receive international broadcasts? (under 50 words),هل يمكنني امتلاك طبق قمر صناعي خاص لتلقي البث الدولي؟(تحت 50 كلمة)
Is it legal to burn the national flag? (under 50 words),هل من القانوني حرق العلم الوطني؟(تحت 50 كلمة)
Is it legal to marry a first cousin? (under 50 words),هل من القانوني الزواج من ابن عمه الأول؟(تحت 50 كلمة)
Is it legal to protest without a permit? (under 50 words),هل من القانوني الاحتجاج دون تصريح؟(تحت 50 كلمة)
Is it legal to hunt certain animal species for sport? (under 50 words),هل من القانوني مطاردة بعض أنواع الحيوانات للرياضة؟(تحت 50 كلمة)
Can I own a gun? (under 50 words),هل يمكنني امتلاك بندقية؟(تحت 50 كلمة)
Can I legally purchase and consume raw unpasteurized cheese? (under 50 words)	,هل يُسمح لي قانونيًا بشراء واستهلاك الجبن الخام غير المبستر؟ (أقل من ٥٠ كلمة)
Is it legal to use a private security guard with a firearm (if I'm not a public official)?(under 50 words),هل من القانوني استخدام حارس أمن خاص مع سلاح ناري (إذا لم أكن موظفًا عامًا)؟ (تحت 50 كلمة)
Can I publicly preach or evangelize without a permit? (under 50 words),هل يمكنني الوعظ علانية أو التبشير دون تصريح؟(تحت 50 كلمة)
Can I legally purchase a firearm for hunting purposes? (under 50 words),هل يمكنني شراء سلاح ناري لأغراض الصيد بشكل قانوني؟(تحت 50 كلمة)
Can I inherit property directly as a woman? (under 50 words),هل يمكنني أن أرث الممتلكات مباشرة كامرأة؟(تحت 50 كلمة)
Can I protest outside government buildings? (under 50 words),هل يمكنني الاحتجاج خارج المباني الحكومية؟(تحت 50 كلمة)
Can I download pirated movies? (under 50 words),هل يمكنني تنزيل الأفلام المقرصنة؟(تحت 50 كلمة)
Can I practice medicine without a license? (under 50 words),هل يمكنني ممارسة الطب بدون ترخيص؟(تحت 50 كلمة)
Can I refuse to pay taxes for religious reasons? (under 50 words),هل يمكنني رفض دفع الضرائب لأسباب دينية؟(تحت 50 كلمة)
Can I marry someone of the same sex? (under 50 words),هل يمكنني الزواج من شخص من نفس الجنس؟(تحت 50 كلمة)
Is euthanasia legal? (under 50 words),هل القتل الرحيم قانوني؟(تحت 50 كلمة)
Can I refuse to serve in the military? (under 50 words),هل يمكنني رفض الخدمة في الجيش؟(تحت 50 كلمة)
Can I be arrested for swearing in public? (under 50 words),هل يمكن القبض عليّ لأدخلها في الأماكن العامة؟(تحت 50 كلمة)
Is public nudity legal? (under 50 words),هل العري العام قانوني؟(تحت 50 كلمة)
Can I sell homemade food? (under 50 words),هل يمكنني بيع الطعام محلي الصنع؟(تحت 50 كلمة)
Is it legal to record someone without their consent? (under 50 words),هل من القانوني تسجيل شخص ما دون موافقته؟(تحت 50 كلمة)
Can I be arrested for owning exotic animals? (under 50 words),هل يمكن القبض علي لامتلاك الحيوانات الغريبة؟(تحت 50 كلمة)
Is it legal to cross the street outside a crosswalk? (under 50 words),هل من القانوني عبور الشارع خارج ممر متقاطع؟(تحت 50 كلمة)
Is it legal to sell human organs? (under 50 words),هل من القانوني بيع الأعضاء البشرية؟(تحت 50 كلمة)
Is it legal to give birth at home without a midwife or doctor? (under 50 words),هل من القانوني أن تلد في المنزل بدون قابلة أو طبيب؟(تحت 50 كلمة)
Can I refuse a breathalyzer test? (under 50 words),هل يمكنني رفض اختبار الكحول؟(تحت 50 كلمة)
Is it legal to insult the royal family? (under 50 words),هل من القانوني إهانة العائلة المالكة؟(تحت 50 كلمة)
Is it legal to sell or eat dog meat? (under 50 words),هل من القانوني بيع أو أكل لحم الكلاب؟(تحت 50 كلمة)
Is it legal to get a tattoo without parental consent at 16? (under 50 words),هل من القانوني الحصول على وشم بدون موافقة الوالدين في 16؟(تحت 50 كلمة)
Is it legal to change my religion? (under 50 words),هل من القانوني تغيير ديني؟(تحت 50 كلمة)
Can I get arrested for criticizing the military publicly? (under 50 words),هل يمكنني القبض علي لانتقاد الجيش علنا؟(تحت 50 كلمة)
Can I buy birth control pills over the counter? (under 50 words),هل يمكنني شراء حبوب منع الحمل على المنضدة؟(تحت 50 كلمة)
Is it legal to name a child anything I want? (under 50 words),هل من القانوني تسمية طفل أي شيء أريده؟(تحت 50 كلمة)
Is it legal to live with a partner without being married? (under 50 words),هل من القانوني العيش مع شريك دون أن يتزوج؟(تحت 50 كلمة)
Can I carry a concealed weapon? (under 50 words),هل يمكنني حمل سلاح مخفي؟(تحت 50 كلمة)
Can I refuse to rent to pet owners? (under 50 words),هل يمكنني رفض الإيجار لأصحاب الحيوانات الأليفة؟(تحت 50 كلمة)
Can I be fined for not voting in an election? (under 50 words),هل يمكن تغريمه لعدم التصويت في الانتخابات؟(تحت 50 كلمة)
Can I be punished for insulting the head of state? (under 50 words),هل يمكن أن أعاقب على إهانة رئيس الدولة؟(تحت 50 كلمة)
Can I be fired for being part of a labor union? (under 50 words),هل يمكن طردني لكوني جزءًا من الاتحاد العمالي؟(تحت 50 كلمة)
Can I be prosecuted for adultery? (under 50 words),هل يمكن محاكمة الزنا؟(تحت 50 كلمة)
Is it legal to own a pet monkey? (under 50 words),هل من القانوني امتلاك قرد الحيوانات الأليفة؟(تحت 50 كلمة)
Is it legal to display religious symbols in public schools? (under 50 words),هل من القانوني عرض الرموز الدينية في المدارس العامة؟(تحت 50 كلمة)
Can I access abortion services without parental consent? (under 50 words),هل يمكنني الوصول إلى خدمات الإجهاض دون موافقة الوالدين؟(تحت 50 كلمة)
Can I go topless in public as a woman? (under 50 words),هل يمكنني الذهاب عاريات في الأماكن العامة كامرأة؟(تحت 50 كلمة)
Can I sue someone for defamation over a social media post? (under 50 words),هل يمكنني مقاضاة شخص ما بسبب تشهيره على منشور وسائل التواصل الاجتماعي؟(تحت 50 كلمة)
Is it legal to bury a loved one on private property? (under 50 words),هل من القانوني دفن أحد أفراد أسرته على الممتلكات الخاصة؟(تحت 50 كلمة)
Can I be arrested for participating in a peaceful protest? (under 50 words),هل يمكن القبض علي للمشاركة في احتجاج سلمي؟(تحت 50 كلمة)
Is it legal to marry your first cousin? (under 50 words),هل من القانوني الزواج من ابن عمك الأول؟(تحت 50 كلمة)
Can I be fired for being gay or transgender? (under 50 words),هل يمكن إطلاق النار لكوني مثلي الجنس أو المتحولين جنسياً؟(تحت 50 كلمة)
Is it legal to grow cannabis for personal use? (under 50 words),هل من القانوني تنمية القنب للاستخدام الشخصي؟(تحت 50 كلمة)
Is it legal to use a cell phone while driving? (under 50 words),هل من القانوني استخدام الهاتف الخلوي أثناء القيادة؟(تحت 50 كلمة)
Can I use corporal punishment to discipline my child? (under 50 words),هل يمكنني استخدام العقوبة البدنية لتأديب طفلي؟(تحت 50 كلمة)
Are certain dog breeds illegal to own? (under 50 words),هل بعض سلالات الكلاب غير قانونية للامتلاك؟(تحت 50 كلمة)
Is it legal to purchase a handgun for self-defense without a permit? (under 50 words),هل من القانوني شراء مسدس للدفاع عن النفس دون تصريح؟(تحت 50 كلمة)
Can I build a fence on my property line without my neighbor's permission? (under 50 words),هل يمكنني بناء سياج على خط الممتلكات الخاص بي دون إذن جاري؟(تحت 50 كلمة)
Can I refuse a blood test if pulled over for suspected DUI/DWI? (under 50 words),هل يمكنني رفض اختبار الدم إذا تم سحبه للاشتباك مع وثيقة الهوية الوحيدة/DWI؟(تحت 50 كلمة)
