English,Chinese
Can I be fined for not voting in an election? (under 50 words),我可以因不参加选举而被罚款吗？（低于50个字）
Can I be punished for insulting the head of state? (under 50 words),我可以因侮辱国家元首而受到惩罚吗？（低于50个字）
Can I be fired for being part of a labor union? (under 50 words),我可以因成为工会的一员而被解雇吗？（低于50个字）
Can I be prosecuted for adultery? (under 50 words),我可以起诉通奸吗？（低于50个字）
Is it legal to own a pet monkey? (under 50 words),拥有宠物猴是合法的吗？（低于50个字）
Is it legal to display religious symbols in public schools? (under 50 words),在公立学校展示宗教符号是合法的吗？（低于50个字）
Can I access abortion services without parental consent? (under 50 words),未经父母同意，我可以访问堕胎服务吗？（低于50个字）
Can I go topless in public as a woman? (under 50 words),我可以像女人一样在公共场合裸照吗？（低于50个字）
Can I sue someone for defamation over a social media post? (under 50 words),我可以起诉某人在社交媒体帖子上诽谤吗？（低于50个字）
Is it legal to bury a loved one on private property? (under 50 words),将亲人埋在私有财产上是合法的吗？（低于50个字）
Can I be arrested for participating in a peaceful protest? (under 50 words),我可以因参加和平抗议而被捕吗？（低于50个字）
Is it legal to marry your first cousin? (under 50 words),嫁给您的第一个堂兄是合法的吗？（低于50个字）
Can I be fired for being gay or transgender? (under 50 words),我可以因为同性恋或变性者而被解雇吗？（低于50个字）
Is it legal to grow cannabis for personal use? (under 50 words),种植大麻供个人使用合法吗？（低于50个字）
Is it legal to use a cell phone while driving? (under 50 words),开车时使用手机是合法的吗？（低于50个字）
Can I use corporal punishment to discipline my child? (under 50 words),我可以用体罚来纪律我的孩子吗？（低于50个字）
Are certain dog breeds illegal to own? (under 50 words),某些狗品种是非法的吗？（低于50个字）
Is it legal to purchase a handgun for self-defense without a permit? (under 50 words),未经许可购买手枪进行自卫是否合法？（低于50个字）
Can I build a fence on my property line without my neighbor's permission? (under 50 words),未经邻居的许可，我可以在我的财产线上建造围栏吗？（低于50个字）
Can I refuse a blood test if pulled over for suspected DUI/DWI? (under 50 words),如果被拉到可疑的DUI/DWI，我可以拒绝血液检查吗？（低于50个字）
