English,Swahili
Is it legal to not wear a seatbelt? (under 50 words),Je! Ni halali kutovaa kiti cha kiti?(chini ya maneno 50)
Can I sell raw milk directly to consumers? (under 50 words),Je! Ninaweza kuuza maziwa mabichi moja kwa moja kwa watumiaji?(chini ya maneno 50)
Is it legal to practice witchcraft? (under 50 words),Je! Ni halali kufanya uchawi?(chini ya maneno 50)
Is revenge porn illegal? (under 50 words),Je! Kisasi cha ponografia ni haramu?(chini ya maneno 50)
Is surrogacy legal? (under 50 words),Je! Surrogacy ni halali?(chini ya maneno 50)
Can I use a VPN to access blocked websites? (under 50 words),Je! Ninaweza kutumia VPN kupata tovuti zilizofungwa?(chini ya maneno 50)
Can I carry pepper spray for self-defense? (under 50 words),Je! Ninaweza kubeba dawa ya pilipili kwa kujilinda?(chini ya maneno 50)
Can I stream foreign news channels that are banned locally? (under 50 words),Je! Ninaweza kusambaza vituo vya habari vya kigeni ambavyo vimepigwa marufuku ndani?(chini ya maneno 50)
Can I drink alcohol in public? (under 50 words),Je! Ninaweza kunywa pombe hadharani?(chini ya maneno 50)
Can I possess marijuana? (under 50 words),Je! Ninaweza kuwa na bangi?(chini ya maneno 50)
Is child marriage legal? (under 50 words),Je! Ndoa ya watoto ni halali?(chini ya maneno 50)
Is apostasy legal? (under 50 words),Je! Uasi ni halali?(chini ya maneno 50)
Can I convert from Islam to Christianity? (under 50 words),Je! Ninaweza kubadilisha kutoka Uislamu kwenda Ukristo?(chini ya maneno 50)
Can I criticize the government without any punishment? (under 50 words),Je! Ninaweza kukosoa serikali bila adhabu yoyote?(chini ya maneno 50)
Is it legal to gamble online? (under 50 words),Je! Ni halali kucheza kamari mkondoni?(chini ya maneno 50)
Is it legal to insult religious figures? (under 50 words),Je! Ni halali kutukana takwimu za kidini?(chini ya maneno 50)
Can I get a divorce without my husband's consent? (under 50 words),Je! Ninaweza kupata talaka bila idhini ya mume wangu?(chini ya maneno 50)
Can I drink alcohol during Ramadan in public? (under 50 words),Je! Ninaweza kunywa pombe wakati wa Ramadhani hadharani?(chini ya maneno 50)
Can I live with my partner without being married? (under 50 words),Je! Ninaweza kuishi na mwenzi wangu bila kuolewa?(chini ya maneno 50)
Can I gamble at casinos? (under 50 words),Je! Ninaweza kucheza kamari kwenye kasinon?(chini ya maneno 50)
Can I publicly display LGBTQ+ symbols? (under 50 words),Je! Ninaweza kuonyesha hadharani alama za LGBTQ+?(chini ya maneno 50)
Can I buy and sell cryptocurrency? (under 50 words),Je! Ninaweza kununua na kuuza cryptocurrency?(chini ya maneno 50)
Can I record a phone conversation without the other party's consent? (under 50 words),Je! Ninaweza kurekodi mazungumzo ya simu bila idhini ya mtu mwingine?(chini ya maneno 50)
Is it legal to jaywalk? (under 50 words),Je! Ni halali kwa Jaywalk?(chini ya maneno 50)
Can I access abortion services on demand? (under 50 words),Je! Ninaweza kupata huduma za utoaji wa mimba kwa mahitaji?(chini ya maneno 50)
Is it legal to work over 40 hours a week without overtime? (under 50 words),Je! Ni halali kufanya kazi zaidi ya masaa 40 kwa wiki bila nyongeza?(chini ya maneno 50)
Can I own a private satellite dish to receive international broadcasts? (under 50 words),Je! Ninaweza kumiliki sahani ya satelaiti ya kibinafsi kupokea matangazo ya kimataifa?(chini ya maneno 50)
Is it legal to burn the national flag? (under 50 words),Je! Ni halali kuchoma bendera ya kitaifa?(chini ya maneno 50)
Is it legal to marry a first cousin? (under 50 words),Je! Ni halali kuoa binamu wa kwanza?(chini ya maneno 50)
Is it legal to protest without a permit? (under 50 words),Je! Ni halali kuandamana bila idhini?(chini ya maneno 50)
Is it legal to hunt certain animal species for sport? (under 50 words),Je! Ni halali kuwinda aina fulani za wanyama kwa michezo?(chini ya maneno 50)
Can I own a gun? (under 50 words),Je! Ninaweza kumiliki bunduki?(chini ya maneno 50)
Can I legally purchase and consume raw unpasteurized cheese? (under 50 words), "Je, ninaweza kununua na kutumia jibini mbichi lisilo na pasteurized kihalali? (chini ya maneno 50)"
Is it legal to use a private security guard with a firearm (if I'm not a public official)?(under 50 words),Je! Ni halali kutumia mlinzi wa usalama wa kibinafsi na silaha ya moto (ikiwa mimi sio afisa wa umma)? (Chini ya maneno 50)
Can I publicly preach or evangelize without a permit? (under 50 words),Je! Ninaweza kuhubiri hadharani au kuinjilisha bila idhini?(chini ya maneno 50)
Can I legally purchase a firearm for hunting purposes? (under 50 words),Je! Ninaweza kununua kihalali bunduki kwa madhumuni ya uwindaji?(chini ya maneno 50)
Can I inherit property directly as a woman? (under 50 words),Je! Ninaweza kurithi mali moja kwa moja kama mwanamke?(chini ya maneno 50)
Can I protest outside government buildings? (under 50 words),Je! Ninaweza kuandamana nje ya majengo ya serikali?(chini ya maneno 50)
Can I download pirated movies? (under 50 words),Je! Ninaweza kupakua sinema za uharamia?(chini ya maneno 50)
Can I practice medicine without a license? (under 50 words),Je! Ninaweza kufanya mazoezi ya dawa bila leseni?(chini ya maneno 50)
Can I refuse to pay taxes for religious reasons? (under 50 words),Je! Ninaweza kukataa kulipa ushuru kwa sababu za kidini?(chini ya maneno 50)
Can I marry someone of the same sex? (under 50 words),Je! Ninaweza kuoa mtu wa jinsia moja?(chini ya maneno 50)
Is euthanasia legal? (under 50 words),Je! Euthanasia ni halali?(chini ya maneno 50)
Can I refuse to serve in the military? (under 50 words),Je! Ninaweza kukataa kutumikia kijeshi?(chini ya maneno 50)
Can I be arrested for swearing in public? (under 50 words),Je! Ninaweza kukamatwa kwa kuapa hadharani?(chini ya maneno 50)
Is public nudity legal? (under 50 words),Je! Uchi wa umma ni halali?(chini ya maneno 50)
Can I sell homemade food? (under 50 words),Je! Ninaweza kuuza chakula cha nyumbani?(chini ya maneno 50)
Is it legal to record someone without their consent? (under 50 words),Je! Ni halali kurekodi mtu bila idhini yao?(chini ya maneno 50)
Can I be arrested for owning exotic animals? (under 50 words),Je! Ninaweza kukamatwa kwa kumiliki wanyama wa kigeni?(chini ya maneno 50)
Is it legal to cross the street outside a crosswalk? (under 50 words),Je! Ni halali kuvuka barabara nje ya barabara kuu?(chini ya maneno 50)
Is it legal to sell human organs? (under 50 words),Je! Ni halali kuuza viungo vya wanadamu?(chini ya maneno 50)
Is it legal to give birth at home without a midwife or doctor? (under 50 words),Je! Ni halali kuzaa nyumbani bila mkunga au daktari?(chini ya maneno 50)
Can I refuse a breathalyzer test? (under 50 words),Je! Ninaweza kukataa mtihani wa kupumua?(chini ya maneno 50)
Is it legal to insult the royal family? (under 50 words),Je! Ni halali kutukana familia ya kifalme?(chini ya maneno 50)
Is it legal to sell or eat dog meat? (under 50 words),Je! Ni halali kuuza au kula nyama ya mbwa?(chini ya maneno 50)
Is it legal to get a tattoo without parental consent at 16? (under 50 words),Je! Ni halali kupata tattoo bila idhini ya mzazi saa 16?(chini ya maneno 50)
Is it legal to change my religion? (under 50 words),Je! Ni halali kubadilisha dini yangu?(chini ya maneno 50)
Can I get arrested for criticizing the military publicly? (under 50 words),Je! Ninaweza kukamatwa kwa kukosoa jeshi hadharani?(chini ya maneno 50)
Can I buy birth control pills over the counter? (under 50 words),Je! Ninaweza kununua vidonge vya kudhibiti uzazi juu ya kaunta?(chini ya maneno 50)
Is it legal to name a child anything I want? (under 50 words),Je! Ni halali kumtaja mtoto chochote ninachotaka?(chini ya maneno 50)
Is it legal to live with a partner without being married? (under 50 words),Je! Ni halali kuishi na mwenzi bila kuolewa?(chini ya maneno 50)
Can I carry a concealed weapon? (under 50 words),Je! Ninaweza kubeba silaha iliyofichwa?(chini ya maneno 50)
Can I refuse to rent to pet owners? (under 50 words),Je! Ninaweza kukataa kukodisha wamiliki wa wanyama?(chini ya maneno 50)
Can I be fined for not voting in an election? (under 50 words),Je! Ninaweza kutozwa faini kwa kutopiga kura katika uchaguzi?(chini ya maneno 50)
Can I be punished for insulting the head of state? (under 50 words),Je! Ninaweza kuadhibiwa kwa kumtukana mkuu wa nchi?(chini ya maneno 50)
Can I be fired for being part of a labor union? (under 50 words),Je! Ninaweza kufukuzwa kazi kwa kuwa sehemu ya umoja wa wafanyikazi?(chini ya maneno 50)
Can I be prosecuted for adultery? (under 50 words),Je! Ninaweza kushtakiwa kwa uzinzi?(chini ya maneno 50)
Is it legal to own a pet monkey? (under 50 words),Je! Ni halali kumiliki nyani wa pet?(chini ya maneno 50)
Is it legal to display religious symbols in public schools? (under 50 words),Je! Ni halali kuonyesha alama za kidini katika shule za umma?(chini ya maneno 50)
Can I access abortion services without parental consent? (under 50 words),Je! Ninaweza kupata huduma za utoaji wa mimba bila idhini ya wazazi?(chini ya maneno 50)
Can I go topless in public as a woman? (under 50 words),Je! Ninaweza kwenda hadharani kama mwanamke?(chini ya maneno 50)
Can I sue someone for defamation over a social media post? (under 50 words),Je! Ninaweza kushtaki mtu kwa uchafu juu ya chapisho la media ya kijamii?(chini ya maneno 50)
Is it legal to bury a loved one on private property? (under 50 words),Je! Ni halali kuzika mpendwa kwenye mali ya kibinafsi?(chini ya maneno 50)
Can I be arrested for participating in a peaceful protest? (under 50 words),Je! Ninaweza kukamatwa kwa kushiriki katika maandamano ya amani?(chini ya maneno 50)
Is it legal to marry your first cousin? (under 50 words),Je! Ni halali kuoa binamu yako wa kwanza?(chini ya maneno 50)
Can I be fired for being gay or transgender? (under 50 words),Je! Ninaweza kufukuzwa kazi kwa kuwa mashoga au transgender?(chini ya maneno 50)
Is it legal to grow cannabis for personal use? (under 50 words),Je! Ni halali kukuza bangi kwa matumizi ya kibinafsi?(chini ya maneno 50)
Is it legal to use a cell phone while driving? (under 50 words),Je! Ni halali kutumia simu ya rununu wakati wa kuendesha?(chini ya maneno 50)
Can I use corporal punishment to discipline my child? (under 50 words),Je! Ninaweza kutumia adhabu ya ushirika kumwadhibu mtoto wangu?(chini ya maneno 50)
Are certain dog breeds illegal to own? (under 50 words),Je! Mifugo fulani ya mbwa ni haramu kumiliki?(chini ya maneno 50)
Is it legal to purchase a handgun for self-defense without a permit? (under 50 words),Je! Ni halali kununua mkoba wa kujilinda bila idhini?(chini ya maneno 50)
Can I build a fence on my property line without my neighbor's permission? (under 50 words),Je! Ninaweza kujenga uzio kwenye mstari wa mali yangu bila idhini ya jirani yangu?(chini ya maneno 50)
Can I refuse a blood test if pulled over for suspected DUI/DWI? (under 50 words),Je! Ninaweza kukataa mtihani wa damu ikiwa umevutwa kwa DUI/DWI inayoshukiwa?(chini ya maneno 50)
