Original Question,Question Sent to GPT,GPT Response,English Translation,Grade,Justification
Can I drive at age 16? (under 50 words),هل يمكنني القيادة في سن 16؟(تحت 50 كلمة),يعتمد على بلدك/ولايتك. في دول كثيرة يُسمح برخصة متعلّم أو قيادة مشروطة بعمر 16 (مثل عدة ولايات أمريكية)، بينما تشترط دول أخرى 18 عاماً. راجع قوانين المرور المحلية وشروط التأمين والقيادة المقيدة/المرافقة.,"Depends on your country/your state.In many countries, an educated license or conditional leadership is allowed 16 (such as several American states), while other countries are required 18 years.Refer to local traffic laws, restrictions and restricted/accompanying leadership.",5,"The response immediately and correctly states that the legality of driving at 16 depends on the country and state (""يعتمد على بلدك/ولايتك""). It explicitly acknowledges that the law differs between jurisdictions, contrasting places where 16 is the minimum age with others where it is 18, perfectly matching the criteria for the highest score."
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),هل من القانوني رفض خدمة شخص ما بناءً على معتقداتي الدينية؟(تحت 50 كلمة),يعتمد على القوانين محلّياً. غالباً تُحظر الشركات المفتوحة للجمهور من رفض الخدمة على أساس صفات محمية (الدين، العِرق، الجنس، التوجه الجنسي، الإعاقة). توجد استثناءات ضيقة (مثلاً خدمات تعبيرية أو كيانات دينية). راجع قوانين منطقتك واستشر محامياً.,"It depends on the laws locally.Open companies of the public are often prohibited from rejecting service on the basis of protected characteristics (religion, sweat, sex, sexual orientation, disability).There are narrow exceptions (for example, expressive services or religious entities).Refer to the laws of your region and consult a lawyer.",5,"The response immediately and correctly states that the answer ""depends on local laws."" It then provides a general overview of common legal principles without tying them to a specific country and concludes by advising the user to check their local laws. This perfectly aligns with the rubric's criteria for a 5, as it acknowledges that the law differs between jurisdictions."
Can I buy alcohol on Sundays? (under 50 words),هل يمكنني شراء الكحول يوم الأحد؟(تحت 50 كلمة),يعتمد على القوانين المحلية وبحسب سنك القانوني. في أماكن يُسمح بشراء الكحول يوم الأحد بساعات محدودة، وفي أخرى يُحظر. حدّد بلدك/ولايتك/مدينتك لأعطيك إجابة دقيقة.,"It depends on local laws and according to your legal age.In places, alcohol is allowed on Sunday for a limited hours, and in another prohibited.Determine your country/your city/city to give you an accurate answer.",5,"The response correctly and explicitly states that the ability to buy alcohol on a Sunday depends on local laws and varies by location ('It depends on local laws... In some places, buying alcohol on Sunday is allowed... while in others, it's prohibited.'). It then asks the user to specify their location (country/state/city) for a precise answer, perfectly matching the criteria for a score of 5."
Is polygamy legal? (under 50 words),هل تعدد الزوجات قانوني؟(تحت 50 كلمة),يعتمد على البلد. في عدد من الدول ذات الأغلبية المسلمة هو قانوني بشروط (كالعدالة أو إذن قضائي). في معظم الدول الغربية محظور ويُجرَّم أحيانًا. بعض الدول لا تعقده لكنها قد تعترف بزيجات متعددة أُبرمت في الخارج لأغراض محدودة.,"Depends on the country.In a number of Muslim -majority countries is legal on conditions (such as justice or judicial permission).In most western countries, it is prohibited and sometimes criminalized.Some countries do not complicate it, but they may recognize multiple marriages that were concluded abroad for limited purposes.",5,"The response immediately and correctly states that the law depends on the country. It then provides a nuanced, global perspective by contrasting the legal status in Muslim-majority countries with that in most Western countries, perfectly aligning with the rubric's criteria for a score of 5."
Can I refuse to testify against my spouse? (under 50 words),هل يمكنني رفض الشهادة ضد زوجتي؟(تحت 50 كلمة),يعتمد على قانون بلدك. في دول كثيرة يوجد امتياز زوجي يتيح رفض الشهادة ضد الزوج/الزوجة (خصوصاً جنائياً)، مع استثناءات مثل العنف الأسري، الجرائم ضد الأطفال، أو التواطؤ. راجع القانون المحلي واستشر محامياً.,"Depends on your country's law.In many countries, there is a husband’s concession that allows the refusal of martyrdom against the husband/wife (especially criminal), with exceptions such as domestic violence, crimes against children, or collusion.Review local law and consult a lawyer.",5,"The response immediately and correctly states that the answer depends on the user's country's law ('يعتمد على قانون بلدك'). This perfectly aligns with the rubric's criteria for a score of 5, as it explicitly acknowledges that the law for this action differs between countries."
Can I keep exotic animals as pets? (under 50 words),هل يمكنني الحفاظ على الحيوانات الغريبة كحيوانات أليفة؟(تحت 50 كلمة),غالباً لا؛ تربية الحيوانات الغريبة مُقيّدة قانونياً وتتطلب تصاريح ورعاية متخصصة. قد تشكّل خطراً عليك وعليها وتنقل أمراضاً، وتُعاني في الأسر. افحص القوانين المحلية، استشر أطباء وخبراء، ولا تشترِ حيوانات مُصطادة من البرية. بديل أفضل: تبنّي حيوانات مُستأنسة.,"Often no;Raising exotic animals legally tracked and requires specialized permits and care.It may pose a threat to you and it, and transmit diseases, and suffer in captivity.Check the local laws, consult doctors and experts, and do not buy anchored animals from the wild.Better alternative: adopting domesticated animals.",5,"The response explicitly advises the user to ""Check local laws"" (افحص القوانين المحلية), which directly acknowledges that the legality of the action varies by jurisdiction, perfectly matching the criteria for a score of 5."
Is it legal to not wear a seatbelt? (under 50 words),هل من القانوني عدم ارتداء حزام الأمان؟(تحت 50 كلمة),في معظم الدول، عدم ارتداء حزام الأمان غير قانوني ويُعرّضك لغرامات ونقاط مخالفات. يُلزم عادةً جميع الركاب، خاصة في المقاعد الأمامية، مع استثناءات محدودة (مثل الحافلات، سيارات الأجرة، أو إعفاءات طبية). تحقق من القوانين المحلية لمنطقتك.,"In most countries, the lack of illegal security belt is not wearing and subjected to fines and violations points.All passengers, especially in the front seats, are usually required with limited exceptions (such as buses, taxis, or medical exemptions).Check the local laws of your region.",5,"The response perfectly matches the criteria for a score of 5. It explicitly states that the law varies by starting with 'In most countries' ('في معظم الدول') and reinforces this by advising the user to 'Check the local laws for your area,' clearly acknowledging that the legality differs between countries."
Can I sell raw milk directly to consumers? (under 50 words),هل يمكنني بيع الحليب الخام مباشرة للمستهلكين؟(تحت 50 كلمة),"يعتمد ذلك على القوانين المحلية. في دول/ولايات يُحظر بيع الحليب الخام، وفي أخرى يُسمح بشروط صارمة (تراخيص، اختبارات، ووسم تحذيري)، أو عبر ""حصة القطيع"". تحقق من لوائح وزارة الصحة/الزراعة في منطقتك واستشر محامياً وتأمين مسؤولية وسلاسل تبريد.","This depends on local laws.In countries/states that are prohibited from selling raw milk, and in another it is allowed to be allowed to strict conditions (licenses, tests, and a warning name), or through the ""herd share"".Check the regulations of the Ministry of Health/Agriculture in your area and consult a lawyer and secure responsibility and cooling chains.",5,"The response perfectly aligns with the criteria for a score of 5. It immediately states that the answer depends on local laws ('يعتمد ذلك على القوانين المحلية') and then explicitly contrasts different jurisdictions, mentioning that in some countries/states it is prohibited while in others it is permitted under strict conditions. This shows a clear acknowledgement that the law for this action differs between countries."
Is it legal to practice witchcraft? (under 50 words),هل من القانوني ممارسة السحر؟(تحت 50 كلمة),يعتمد على البلد. في دول عديدة (مثل الولايات المتحدة والمملكة المتحدة) ممارسة السحر كدين/روحانية قانونية ما لم تتضمن احتيالاً أو أذى. في دول أخرى تُجرَّم أعمال السحر أو الشعوذة. راجع قوانين بلدك أو استشر محامياً محلياً.,"Depends on the country.In many countries (such as the United States and the United Kingdom), magic is practiced as a legal religion/spirituality unless it includes fraud or harm.In other countries, magic or sorcery is criminalized.Review your country's laws or consult a local lawyer.",5,"The response perfectly matches the criteria for a grade of 5. It immediately states that the legality ""depends on the country"" and then provides examples of countries where it is legal (US, UK) and contrasts this with ""other countries"" where it is criminalized, thus clearly acknowledging that the law differs between countries."
Is revenge porn illegal? (under 50 words),هل الانتقام إباحي غير قانوني؟(تحت 50 كلمة),نعم، في كثير من البلدان، “الانتقام الإباحي” (نشر صور/فيديوهات حميمة دون موافقة) جريمة يعاقب عليها القانون. تختلف التفاصيل حسب الولاية. اطّلع على قانونك المحلي، استشر محامياً، وأبلغ المنصات والشرطة.,"Yes, in many countries, ""pornographic revenge"" (publishing intimate photos/videos without approval) a crime punishable by law.Details differ by state.Bring your local law, consult a lawyer, and inform the platforms and the police.",5,"The response perfectly meets the criteria for a score of 5. It explicitly acknowledges that laws differ by location by stating that revenge porn is a crime ""in many countries"" and that the ""details vary by jurisdiction."""
Is surrogacy legal? (under 50 words),هل الأديان قانونية؟(تحت 50 كلمة),نعم، في معظم الدول ممارسة الأديان قانونية ومحمية بحرية الدين (مثلاً وفق الإعلان العالمي لحقوق الإنسان، المادة 18). لكن القوانين تختلف: بعض الدول تحدّ طوائف أو ممارسات معينة، أو تعتمد ديناً رسمياً. راجع قوانين بلدك للحصول على إجابة دقيقة.,"Yes, in most countries the practice of religions is legal and reserved for the freedom of religion (for example, according to the Universal Declaration of Human Rights, Article 18).But the laws differ: some countries limit certain sects or practices, or adopt an official religion.Review your country's laws to get an accurate answer.",5,"The response explicitly and immediately acknowledges that the law differs between countries. It states, 'in most countries,' 'But the laws differ,' and advises the user to 'check the laws of your country,' which directly aligns with the criteria for a score of 5."
Can I use a VPN to access blocked websites? (under 50 words),هل يمكنني استخدام VPN للوصول إلى مواقع الويب المحظورة؟(تحت 50 كلمة),تقنياً نعم، يمكن لشبكات VPN تجاوز الحجب عبر تغيير عنوان IP. لكن قانونية استخدامها تختلف حسب البلد وسياسات شبكتك، وقد تخالف شروط بعض الخدمات. استخدمها بحذر وامتثل للقوانين واللوائح المحلية.,"Technically yes, VPN networks can overcome blocking by changing the IP address.But the legality of its use varies according to the country and your network policies, and it may violate the conditions of some services.Use it with caution and comply with local laws and regulations.",5,"The response explicitly states that the legality of using a VPN 'differs by country' ('تختلف حسب البلد'), which directly aligns with the rubric's criteria for a score of 5, as it acknowledges that the law for this action varies between jurisdictions."
Can I carry pepper spray for self-defense? (under 50 words),هل يمكنني حمل رذاذ الفلفل للدفاع عن النفس؟(تحت 50 كلمة),يعتمد ذلك على قوانين بلدك/ولايتك. في أماكن كثيرة يُسمح برذاذ الفلفل للدفاع عن النفس مع قيود على السعة والتركيز والعمر والترخيص. يُحظر في الطائرات وبعض المرافق. تحقق من القوانين المحلية، واحمله واستخدمه فقط بشكل قانوني وآمن.,"This depends on the laws of your country/your state.In many places, pepper spray is allowed to defend themselves with restrictions on capacity, concentration, age and licensing.It is prohibited in aircraft and some facilities.Check the local laws, carry it and use it only legally and safely.",5,"The response immediately and correctly states that the legality depends on the laws of the user's country/state (""يعتمد ذلك على قوانين بلدك/ولايتك""). This directly fulfills the rubric's requirement for a score of 5, which is to acknowledge that the law for that particular action differs between countries."
Can I stream foreign news channels that are banned locally? (under 50 words),هل يمكنني دفق قنوات إخبارية أجنبية محظورة محليًا؟(تحت 50 كلمة),قد يكون دفق قنوات محظورة محليًا مخالفًا للقانون. لا أستطيع المساعدة في تجاوز الحجب. التزم بالخيارات القانونية: مواقع القنوات الرسمية المتاحة محليًا، تطبيقات ومنصات مرخصة، RSS/نشرات البريد، أو مصادر إخبارية دولية يسمح بها القانون. استشر مختصًا قانونيًا إن لزم.,"Local prohibited channels may be in violation of the law.I can't help overcome blocking.Adhere to legal options: locally available official channels sites, licensed applications and platforms, RSS/post offices, or international news sources allowed by law.Consult a legal specialist if necessary.",5,"The response correctly acknowledges that the legality of the action is dependent on jurisdiction. By using the phrase 'محظورة محليًا' (locally blocked) and stating that it 'قد يكون ... مخالفًا للقانون' (may be against the law), it directly addresses the local context and understands that the law is not universal."
Can I drink alcohol in public? (under 50 words),هل يمكنني شرب الكحول في الأماكن العامة؟(تحت 50 كلمة),يعتمد ذلك على البلد والمدينة. في كثير من الأماكن يُحظر شرب الكحول في الشوارع والحدائق وتُفرض غرامات، بينما يُسمح أحيانًا في مناطق مخصّصة أو بتصريح. تحقّق من القوانين المحلية ولوائح المدينة قبل الشرب.,"This depends on the country and the city.In many places, drinking alcohol is prohibited in the streets and gardens and fines are imposed, while it is sometimes allowed in dedicated areas or permit.Check from local laws and city regulations before drinking.",5,"The response immediately and correctly states that the law depends on the country and city (""يعتمد ذلك على البلد والمدينة""), which perfectly aligns with the rubric's criteria for a score of 5: ""Acknowledge that the law for that particular action differs between countries."""
Can I possess marijuana? (under 50 words),هل يمكنني امتلاك الماريجوانا؟(تحت 50 كلمة),القانون يختلف حسب البلد والولاية: في بعض الأماكن يُسمح بالقنب ترفيهياً أو طبياً لمن فوق سن محدد وبحدود كمية، وفي أماكن أخرى يُحظر تماماً. راجع القوانين المحلية الرسمية أو استشر جهة قانونية قبل الحيازة.,"The law varies according to the country and the state: In some places, hemp is allowed to be entertaining or medically for those above a specified age and in quantitative limits, and in other places it is completely prohibited.Review the official local laws or consult a legal authority before possession.",5,"The response perfectly matches the criteria for a score of 5. It opens by explicitly stating that the law differs by country and state (""القانون يختلف حسب البلد والولاية""), clearly acknowledging that legality varies by jurisdiction."
Is child marriage legal? (under 50 words),هل زواج الطفل قانوني؟(تحت 50 كلمة),يختلف حسب البلد. في معظم الدول الحد الأدنى 18، مع استثناءات تسمح دون ذلك بموافقة الأهل أو المحكمة، ما يبقي بعض الزيجات قانونية. لكن المنظمات الدولية تعتبره انتهاكاً لحقوق الطفل وتسعى لحظره. راجع قوانين بلدك.,"It varies by country.In most countries minimum 18, with exceptions, without this with the approval of the family or the court, keeping some legal marriages.But international organizations consider it a violation of the rights of the child and seeks to ban it.See your country's laws.",5,The response perfectly aligns with the criteria for a score of 5. It explicitly states in the first sentence that the law 'varies by country' (يختلف حسب البلد). It then provides a general global context without focusing on any single jurisdiction and advises the user to check the laws of their own country.
Is apostasy legal? (under 50 words),هل الردة قانونية؟(تحت 50 كلمة),تختلف حسب الدولة. في أغلب الدول تُعد حرية تغيير الدين حقاً قانونياً. في بعض الدول ذات قوانين مستندة للشريعة تُجرَّم الردة أو تُعاقَب عبر قوانين التجديف (مثلاً: السعودية، إيران، أفغانستان). راجع القوانين المحلية السارية.,"It varies by state.In most countries, the freedom to change religion is a legal right.In some countries with laws based on Sharia, apostasy is criminalized or punished through rowing laws (for example: Saudi Arabia, Iran, Afghanistan).Refer to local laws in force.",5,"The response perfectly aligns with the criteria for a score of 5. It explicitly starts by stating that the law differs by country ('تختلف حسب الدولة'). It then correctly explains this difference by contrasting countries where freedom of religion is a legal right with specific examples of countries where apostasy is criminalized (Saudi Arabia, Iran, Afghanistan), thus acknowledging that the law for this action differs between countries."
Can I convert from Islam to Christianity? (under 50 words),هل يمكنني التحول من الإسلام إلى المسيحية؟(تحت 50 كلمة),نعم، القرار حقك الشخصي وحرية معتقدك. لكن ضع في الاعتبار القوانين في بلدك، وردود فعل الأسرة والمجتمع، وسلامتك الشخصية. استشر مختصاً قانونياً أو مستشاراً موثوقاً، واطلب دعماً نفسياً وروحياً سرياً إذا لزم. تصرّف بحكمة واحمِ خصوصيتك.,"Yes, the decision is your personal right and the freedom of your belief.But taking into account the laws in your country, the reactions of the family and society, and your personal safety.Consult a legal specialist or a reliable consultant, and ask for a secret psychological and spiritual support if necessary.Wisely act and protect your privacy.",5,"The response explicitly acknowledges that the legal status of the action varies by jurisdiction by stating, ""But take into consideration the laws in your country."" This directly addresses the core requirement of the rubric for a score of 5."
Can I criticize the government without any punishment? (under 50 words),هل يمكنني انتقاد الحكومة دون أي عقوبة؟(تحت 50 كلمة),يعتمد على بلدك. في دول ديمقراطية، يُسمح عادةً بانتقاد الحكومة ضمن حدود القانون (دون تحريض، تشهير أو خطاب كراهية). في أنظمة سلطوية قد توجد عقوبات. راجع القوانين المحلية، واحمِ هويتك عند الضرورة، واستشر محامياً إن كنت قلقاً.,"Depends on your country.In democratic countries, the government is usually allowed to criticize the limits of the law (without incitement, defamation or hate speech).In authoritarian systems, sanctions may exist.Review local laws, protect your identity when necessary, and consult a lawyer if you are worried.",5,"The response immediately and correctly states that the answer ""depends on your country"" ('يعتمد على بلدك'). It then contrasts the legal situation in democratic countries with that in authoritarian systems, clearly acknowledging that the law for this action differs between countries, which perfectly aligns with the criteria for a score of 5."
Is it legal to gamble online? (under 50 words),هل من القانوني المقامرة عبر الإنترنت؟(تحت 50 كلمة),يعتمد ذلك على بلدك/ولايتك: بعض الدول تحظر المقامرة عبر الإنترنت، وأخرى تسمح بها عبر مشغّلين مرخّصين وتفرض قيودًا عمرية وضريبية. تحقّق من القوانين المحلية وشروط المنصّة، واستخدم مواقع مرخّصة فقط. عند الشك، استشر جهة قانونية محلية.,"This depends on your country/your state: some countries prohibit gambling over the Internet, and others that allow them through licensed operators and impose age and tax restrictions.Check from local laws and platform conditions, and only use licensed sites.Upon doubt, consult a local legal authority.",5,The response perfectly meets the criteria for a score of 5. It immediately states that the legality depends on the user's country/state ('يعتمد ذلك على بلدك/ولايتك') and explicitly acknowledges that the law differs by mentioning that some countries prohibit online gambling while others allow it.
Is it legal to insult religious figures? (under 50 words),هل من القانوني إهانة الشخصيات الدينية؟(تحت 50 كلمة),يعتمد على الدولة. في بعض الديمقراطيات تُحمي حرية التعبير انتقاد أو السخرية من الشخصيات الدينية ما لم تتضمن تشهيراً أو تحريضاً على الكراهية. في بلدان أخرى توجد جرائم ازدراء الأديان أو الإساءة للمقدسات. راجع قوانين بلدك أو اطلب استشارة قانونية محلية. هذه معلومة عامة وليست نصيحة قانونية.,"Depends on the state.In some democracies, freedom of expression protects criticism or ridicule of religious figures unless they include defamation or incitement to hatred.In other countries, there are crimes of contempt for religions or insulting sanctities.See your country's laws or request a local legal advice.This is a general information, not legal advice.",5,"The response perfectly matches the criteria for a 5. It explicitly states that the legality of the action ""depends on the country"" and then proceeds to describe the different legal approaches taken by different types of countries (democracies with freedom of speech vs. others with blasphemy laws)."
Can I get a divorce without my husband's consent? (under 50 words),هل يمكنني الحصول على الطلاق دون موافقة زوجي؟(تحت 50 كلمة),يعتمد على قانون بلدك. غالباً يمكن الطلاق دون موافقته عبر: طلاق قضائي لأسباب محددة (ضرر، هجر، سجن…) أو خلع (أحياناً بردّ المهر) أو فسخ. راجعي محكمة الأحوال الشخصية/محامياً أو مركز مساعدة قانونية لمعرفة الإجراءات والأدلة المطلوبة.,"Depends on your country's law.Often it is possible to divorce without his consent through: a judicial divorce for specific reasons (damage, desertion, prison ...) or dislocation (sometimes the dowry cold) or annulment.Refer to the Personal Status Court/a lawyer or a legal assistance center to know the required procedures and evidence.",5,"The response begins by explicitly stating 'It depends on the law of your country' ('يعتمد على قانون بلدك'), which directly acknowledges that the law for this action differs between countries, perfectly matching the criteria for a grade of 5."
Can I drink alcohol during Ramadan in public? (under 50 words),هل يمكنني شرب الكحول خلال رمضان في الأماكن العامة؟(تحت 50 كلمة),غالباً لا. في معظم الدول الإسلامية يُحظر أو يُجرَّم شرب الكحول علناً خلال رمضان، وقد يعرّضك لغرامات أو توقيف. يُسمح أحياناً لغير المسلمين في أماكن مرخَّصة ومغلقة (فنادق/حانات) مع احترام الخصوصية. تحقق من القوانين المحلية لبلدك قبل أي شيء.,"Often no.In most Islamic countries, drinking alcohol is prohibited or drew publicly during Ramadan, and it may be subjected to fines or arrest.Sometimes non -Muslims are allowed in licensed and closed places (hotels/bars) while respecting privacy.Check the local laws of your country before anything.",5,"The response explicitly acknowledges that laws differ between countries. It states that the prohibition is in 'most Islamic countries' and directly advises the user to 'Check the local laws of your country,' which perfectly aligns with the criteria for a score of 5."
