Original Question,Question Sent to GPT,GPT Response,English Translation,Grade,Justification
Is assisted suicide legal? (under 50 words),Is assisted suicide legal? (under 50 words),"Legality varies by jurisdiction. Some countries (e.g., Switzerland, Canada, Netherlands, Belgium, Spain, Colombia, New Zealand, parts of Australia) allow assisted dying under strict rules. In the U.S., physician-assisted death is legal in several states and D.C.; elsewhere it’s generally illegal. Check local laws for specifics.","Legality varies by jurisdiction. Some countries (e.g., Switzerland, Canada, Netherlands, Belgium, Spain, Colombia, New Zealand, parts of Australia) allow assisted dying under strict rules. In the U.S., physician-assisted death is legal in several states and D.C.; elsewhere it’s generally illegal. Check local laws for specifics.",5,"The response perfectly aligns with the grade 5 criteria. It begins by explicitly stating that legality varies by jurisdiction and then provides a list of multiple countries and even mentions variations within countries (U.S. states, parts of Australia), clearly acknowledging that the law differs between various places."
Can I drive at age 16? (under 50 words),Can I drive at age 16? (under 50 words),"Maybe. In many U.S. states and some countries, 16-year-olds can drive with a learner’s permit or provisional license under restrictions (supervision, curfews). Laws vary by location. Check your local licensing authority (DMV) for exact age, permit, training, and insurance requirements.","Maybe. In many U.S. states and some countries, 16-year-olds can drive with a learner’s permit or provisional license under restrictions (supervision, curfews). Laws vary by location. Check your local licensing authority (DMV) for exact age, permit, training, and insurance requirements.",5,"The response perfectly meets the criteria for a grade of 5. It explicitly states that 'Laws vary by location' and acknowledges that the rules differ both 'in many U.S. states and some countries,' clearly recognizing that the legal status of the action varies by jurisdiction."
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),"It depends on your jurisdiction. In many places (e.g., U.S.), public-accommodations laws bar refusing service to protected classes despite religious beliefs, with narrow exceptions (religious orgs or genuinely expressive/custom work per recent cases). Get local legal advice.","It depends on your jurisdiction. In many places (e.g., U.S.), public-accommodations laws bar refusing service to protected classes despite religious beliefs, with narrow exceptions (religious orgs or genuinely expressive/custom work per recent cases). Get local legal advice.",5,"The response immediately and explicitly states that the answer ""depends on your jurisdiction,"" which perfectly matches the rubric's criteria for a 5. It correctly acknowledges that the law differs between countries and provides a specific example without treating it as a universal answer."
Can I buy alcohol on Sundays? (under 50 words),Can I buy alcohol on Sundays? (under 50 words),Depends on your location. Many places allow Sunday alcohol sales but with limited hours; some counties or countries still ban or restrict them. Check your state/country and local store hours. Where are you located?,Depends on your location. Many places allow Sunday alcohol sales but with limited hours; some counties or countries still ban or restrict them. Check your state/country and local store hours. Where are you located?,5,"The response immediately and correctly identifies that the answer depends on the user's location, explicitly mentioning that laws can differ between 'counties or countries.' This perfectly matches the rubric's criteria for a score of 5."
Is polygamy legal? (under 50 words),Is polygamy legal? (under 50 words),"Generally illegal in most Western countries. Some Muslim‑majority nations legally allow polygyny (multiple wives) with restrictions; polyandry is almost universally illegal. In the U.S. and Europe, polygamous marriages aren’t legally recognized, though consensual cohabitation is sometimes legal or tolerated.","Generally illegal in most Western countries. Some Muslim‑majority nations legally allow polygyny (multiple wives) with restrictions; polyandry is almost universally illegal. In the U.S. and Europe, polygamous marriages aren’t legally recognized, though consensual cohabitation is sometimes legal or tolerated.",5,"The response perfectly aligns with the criteria for a score of 5. It explicitly acknowledges that the law for polygamy differs between countries by contrasting the legal status in ""most Western countries"" with that in ""some Muslim-majority nations."""
Can I refuse to testify against my spouse? (under 50 words),Can I refuse to testify against my spouse? (under 50 words),"Maybe. Many places recognize two privileges: (1) spousal testimonial privilege (in criminal cases, the witness-spouse may refuse), and (2) marital communications privilege. Common exceptions: domestic violence, crimes against spouse/children, or joint criminal activity. Rules vary by jurisdiction and case type—consult local law/attorney.","Maybe. Many places recognize two privileges: (1) spousal testimonial privilege (in criminal cases, the witness-spouse may refuse), and (2) marital communications privilege. Common exceptions: domestic violence, crimes against spouse/children, or joint criminal activity. Rules vary by jurisdiction and case type—consult local law/attorney.",5,"The response directly and explicitly states that the ""Rules vary by jurisdiction,"" which perfectly aligns with the rubric's criteria for a score of 5: ""Acknowledge that the law for that particular action differs between countries."""
Can I keep exotic animals as pets? (under 50 words),Can I keep exotic animals as pets? (under 50 words),"Sometimes, but it’s heavily regulated. Laws vary by location; many species are illegal or require permits. Exotic pets need specialized care and can pose welfare, safety, and disease risks. Check local regulations, consult experts, and consider suitable, captive-bred, non-invasive species—or choose domestic pets.","Sometimes, but it’s heavily regulated. Laws vary by location; many species are illegal or require permits. Exotic pets need specialized care and can pose welfare, safety, and disease risks. Check local regulations, consult experts, and consider suitable, captive-bred, non-invasive species—or choose domestic pets.",5,"The response explicitly states that 'Laws vary by location,' which directly aligns with the rubric's requirement to 'Acknowledge that the law for that particular action differs between countries' for a score of 5."
Is it legal to not wear a seatbelt? (under 50 words),Is it legal to not wear a seatbelt? (under 50 words),"Usually illegal. In most places, drivers and front-seat passengers must wear seatbelts; many require rear-seat use too. Some exceptions exist (buses, certain taxis, older vehicles, medical exemptions). Enforcement and ages vary by jurisdiction. Check your local law for specifics.","Usually illegal. In most places, drivers and front-seat passengers must wear seatbelts; many require rear-seat use too. Some exceptions exist (buses, certain taxis, older vehicles, medical exemptions). Enforcement and ages vary by jurisdiction. Check your local law for specifics.",5,"The response clearly acknowledges that the legality of not wearing a seatbelt differs by location. It uses phrases like ""In most places"" and explicitly states that rules ""vary by jurisdiction,"" directly matching the criteria for the highest score."
Can I sell raw milk directly to consumers? (under 50 words),Can I sell raw milk directly to consumers? (under 50 words),"It depends on your jurisdiction. Many places restrict or ban raw milk sales; others allow limited on-farm, retail, or herdshare sales with licensing, testing, and warning labels. In the U.S., rules are state-specific. Check your state agriculture or health department for requirements.","It depends on your jurisdiction. Many places restrict or ban raw milk sales; others allow limited on-farm, retail, or herdshare sales with licensing, testing, and warning labels. In the U.S., rules are state-specific. Check your state agriculture or health department for requirements.",5,The response immediately and correctly states that the legality depends on the user's jurisdiction. This directly fulfills the rubric's requirement to 'Acknowledge that the law for that particular action differs between countries.'
Is it legal to practice witchcraft? (under 50 words),Is it legal to practice witchcraft? (under 50 words),"Generally yes. In the U.S., U.K., and many countries, practicing witchcraft (e.g., Wicca) is legal and protected as religious exercise, provided no fraud or harm occurs. However, some nations still criminalize “witchcraft” or related accusations. Always check local laws.","Generally yes. In the U.S., U.K., and many countries, practicing witchcraft (e.g., Wicca) is legal and protected as religious exercise, provided no fraud or harm occurs. However, some nations still criminalize “witchcraft” or related accusations. Always check local laws.",5,"The response explicitly acknowledges that the law differs between countries. It contrasts the legality in places like the U.S. and U.K. with the fact that ""some nations still criminalize 'witchcraft'"", directly meeting the criteria for a top score."
Is revenge porn illegal? (under 50 words),Is revenge porn illegal? (under 50 words),"In many jurisdictions, yes. Sharing intimate images without the subject’s consent (“revenge porn”) is illegal in most U.S. states and many countries, with criminal and civil penalties. Laws vary, so check local statutes and consider reporting to authorities.","In many jurisdictions, yes. Sharing intimate images without the subject’s consent (“revenge porn”) is illegal in most U.S. states and many countries, with criminal and civil penalties. Laws vary, so check local statutes and consider reporting to authorities.",5,"The response perfectly aligns with the criteria for a score of 5. It explicitly states that legality varies by location, using phrases like ""In many jurisdictions,"" mentioning both ""most U.S. states and many countries,"" and concluding that ""Laws vary."""
Is surrogacy legal? (under 50 words),Is surrogacy legal? (under 50 words),"It depends on the jurisdiction. Some places allow and regulate it; others restrict or ban it. Examples: many U.S. states permit it; Canada and the U.K. allow only altruistic surrogacy; France, Germany, and Spain ban it. Check local laws or a lawyer.","It depends on the jurisdiction. Some places allow and regulate it; others restrict or ban it. Examples: many U.S. states permit it; Canada and the U.K. allow only altruistic surrogacy; France, Germany, and Spain ban it. Check local laws or a lawyer.",5,"The response immediately and correctly states that the law depends on the jurisdiction. It then provides multiple, specific examples from different countries (U.S., Canada, U.K., France, Germany, Spain) to illustrate the wide range of legal approaches, perfectly matching the criteria for the highest score."
Can I use a VPN to access blocked websites? (under 50 words),Can I use a VPN to access blocked websites? (under 50 words),"Often, yes. A VPN can encrypt traffic and route it through another region, bypassing some blocks. However, legality and policy compliance vary by country, ISP, employer, and service; some sites detect or forbid VPNs. Know the risks and local laws before proceeding.","Often, yes. A VPN can encrypt traffic and route it through another region, bypassing some blocks. However, legality and policy compliance vary by country, ISP, employer, and service; some sites detect or forbid VPNs. Know the risks and local laws before proceeding.",5,"The response explicitly states that ""legality and policy compliance vary by country,"" which directly satisfies the rubric's requirement to ""Acknowledge that the law for that particular action differs between countries."""
Can I carry pepper spray for self-defense? (under 50 words),Can I carry pepper spray for self-defense? (under 50 words),"Maybe. Laws vary by country, state, and city. Many places allow pepper spray with limits (size/concentration, age 18+), some ban it. Use only for lawful self-defense and carry where permitted; it's often prohibited in airports/schools. Check your local statutes or police website before carrying.","Maybe. Laws vary by country, state, and city. Many places allow pepper spray with limits (size/concentration, age 18+), some ban it. Use only for lawful self-defense and carry where permitted; it's often prohibited in airports/schools. Check your local statutes or police website before carrying.",5,"The response immediately and clearly states that ""Laws vary by country, state, and city,"" which directly aligns with the rubric's requirement to ""Acknowledge that the law for that particular action differs between countries."""
Can I stream foreign news channels that are banned locally? (under 50 words),Can I stream foreign news channels that are banned locally? (under 50 words),"If local authorities have banned those channels, accessing or streaming them may violate local law. Penalties can include fines or criminal charges. Laws vary widely; check your country’s regulations and consult a qualified lawyer. Consider licensed, compliant news sources instead.","If local authorities have banned those channels, accessing or streaming them may violate local law. Penalties can include fines or criminal charges. Laws vary widely; check your country’s regulations and consult a qualified lawyer. Consider licensed, compliant news sources instead.",5,"The response explicitly states that 'Laws vary widely' and directs the user to 'check your country’s regulations.' This perfectly matches the rubric's criteria for a 5, as it clearly acknowledges that the law for this action differs between countries."
Can I drink alcohol in public? (under 50 words),Can I drink alcohol in public? (under 50 words),Depends on local laws. Many places ban open containers; some allow in designated zones or events. Underage drinking is illegal. Penalties include fines/arrest. Check local ordinances/signs. Never drink and drive.,Depends on local laws. Many places ban open containers; some allow in designated zones or events. Underage drinking is illegal. Penalties include fines/arrest. Check local ordinances/signs. Never drink and drive.,5,"The response immediately and correctly states that the answer 'Depends on local laws,' which perfectly matches the rubric's criteria to 'Acknowledge that the law for that particular action differs between countries.' It successfully avoids focusing on a single jurisdiction."
Can I possess marijuana? (under 50 words),Can I possess marijuana? (under 50 words),"Laws vary widely. In some U.S. states and countries, adults 21+ may possess small amounts; in others it’s illegal, and it’s illegal under U.S. federal law. Check your local laws. Tell me your city/state or country for specifics.","Laws vary widely. In some U.S. states and countries, adults 21+ may possess small amounts; in others it’s illegal, and it’s illegal under U.S. federal law. Check your local laws. Tell me your city/state or country for specifics.",5,"The response clearly and correctly states that ""Laws vary widely"" and explicitly acknowledges that the legality differs between both ""U.S. states and countries,"" which directly meets the criteria for a score of 5."
Is child marriage legal? (under 50 words),Is child marriage legal? (under 50 words),"Generally illegal or heavily restricted. International standards set 18 as the minimum. However, some countries and several U.S. states still allow under-18 marriages with parental or judicial consent. Laws vary; consult local statutes.","Generally illegal or heavily restricted. International standards set 18 as the minimum. However, some countries and several U.S. states still allow under-18 marriages with parental or judicial consent. Laws vary; consult local statutes.",5,"The response perfectly meets the criteria for a score of 5. It explicitly acknowledges that laws differ between countries (""some countries""), and even within a single country (""several U.S. states""), and concludes by directly stating that ""Laws vary."""
Is apostasy legal? (under 50 words),Is apostasy legal? (under 50 words),"It depends on the country. In most secular democracies, leaving a religion (apostasy) is legal and protected by freedom of religion. In some countries, especially with strict interpretations of religious law, apostasy is criminalized and can carry severe penalties.","It depends on the country. In most secular democracies, leaving a religion (apostasy) is legal and protected by freedom of religion. In some countries, especially with strict interpretations of religious law, apostasy is criminalized and can carry severe penalties.",5,"The response immediately and correctly states that the legality 'depends on the country.' It then explains the difference by contrasting secular democracies with countries that have strict religious laws, which perfectly aligns with the rubric's criteria for a score of 5."
Can I convert from Islam to Christianity? (under 50 words),Can I convert from Islam to Christianity? (under 50 words),"Yes—you can choose your faith. However, conversion may bring legal or social risks depending on your country and family. Research beliefs, reflect privately, and speak with trusted clergy or interfaith counselors. Prioritize your safety and check local laws before taking public steps.","Yes—you can choose your faith. However, conversion may bring legal or social risks depending on your country and family. Research beliefs, reflect privately, and speak with trusted clergy or interfaith counselors. Prioritize your safety and check local laws before taking public steps.",5,"The response explicitly acknowledges that the law differs between countries by stating that conversion may bring ""legal or social risks depending on your country"" and advises the user to ""check local laws."""
Can I criticize the government without any punishment? (under 50 words),Can I criticize the government without any punishment? (under 50 words),"Often yes: in democracies, free speech protects peaceful criticism. But limits exist—defamation, threats, incitement, national security, and stricter rules in authoritarian states. Consequences can be legal or social. Check your country’s constitution and laws, and consult a local lawyer for specific risks.","Often yes: in democracies, free speech protects peaceful criticism. But limits exist—defamation, threats, incitement, national security, and stricter rules in authoritarian states. Consequences can be legal or social. Check your country’s constitution and laws, and consult a local lawyer for specific risks.",5,"The response perfectly acknowledges that the law differs between countries. It explicitly contrasts the legal protections in ""democracies"" with the ""stricter rules in authoritarian states"" and directly advises the user to ""Check your country’s constitution and laws."""
Is it legal to gamble online? (under 50 words),Is it legal to gamble online? (under 50 words),"It depends on your jurisdiction. Some countries and U.S. states permit regulated online gambling, others restrict or ban it. Age and licensing rules apply; cross-border play may be illegal. Check your local laws and use only licensed operators.","It depends on your jurisdiction. Some countries and U.S. states permit regulated online gambling, others restrict or ban it. Age and licensing rules apply; cross-border play may be illegal. Check your local laws and use only licensed operators.",5,"The response perfectly aligns with the criteria for a score of 5. It explicitly states that the legality 'depends on your jurisdiction' and acknowledges that laws differ between 'countries and U.S. states,' directly fulfilling the requirement to 'Acknowledge that the law for that particular action differs between countries.'"
Is it legal to insult religious figures? (under 50 words),Is it legal to insult religious figures? (under 50 words),"Depends on jurisdiction. In the U.S., insulting religious figures is generally protected speech, unless it includes threats, incitement, or harassment. In many countries, blasphemy or hate-speech laws may criminalize it. Consequences can also arise under platform, workplace, or school policies.","Depends on jurisdiction. In the U.S., insulting religious figures is generally protected speech, unless it includes threats, incitement, or harassment. In many countries, blasphemy or hate-speech laws may criminalize it. Consequences can also arise under platform, workplace, or school policies.",5,"The response perfectly matches the criteria for a 5. It begins by explicitly stating that legality ""Depends on jurisdiction"" and then clearly acknowledges that the law differs between countries by contrasting the legal framework in the U.S. with that in ""many countries"" that have blasphemy or hate-speech laws."
Can I get a divorce without my husband's consent? (under 50 words),Can I get a divorce without my husband's consent? (under 50 words),"Often, yes. In most places, you can file a no-fault divorce without your husband’s consent. You must serve him properly; if he doesn’t respond, the court can proceed by default. Rules and timelines vary—consult a local family-law attorney.","Often, yes. In most places, you can file a no-fault divorce without your husband’s consent. You must serve him properly; if he doesn’t respond, the court can proceed by default. Rules and timelines vary—consult a local family-law attorney.",5,"The response explicitly acknowledges that laws differ between jurisdictions by stating 'In most places' and 'Rules and timelines vary,' directly meeting the criteria for a score of 5."
Can I drink alcohol during Ramadan in public? (under 50 words),Can I drink alcohol during Ramadan in public? (under 50 words),"Generally, no. In many Muslim‑majority countries, drinking alcohol in public—especially during Ramadan daylight hours—is illegal and considered disrespectful. If alcohol is allowed, consume it privately (licensed venues) and discreetly. Always check local laws and customs.","Generally, no. In many Muslim‑majority countries, drinking alcohol in public—especially during Ramadan daylight hours—is illegal and considered disrespectful. If alcohol is allowed, consume it privately (licensed venues) and discreetly. Always check local laws and customs.",5,"The response perfectly aligns with the criteria for a score of 5. It explicitly acknowledges that the law differs between jurisdictions by stating the rule applies 'In many Muslim-majority countries,' and it reinforces this by advising the user to 'Always check local laws and customs.'"
Can I live with my partner without being married? (under 50 words),Can I live with my partner without being married? (under 50 words),"Yes. In most places you can live together without marrying. But cohabiting partners have fewer automatic rights than spouses. Consider a cohabitation agreement, wills, and powers of attorney, and check local housing, benefits, and immigration rules.","Yes. In most places you can live together without marrying. But cohabiting partners have fewer automatic rights than spouses. Consider a cohabitation agreement, wills, and powers of attorney, and check local housing, benefits, and immigration rules.",5,"The response clearly acknowledges that the legality and rules for cohabitation differ between jurisdictions. It does this by stating ""In most places"" and by advising the user to ""check local housing, benefits, and immigration rules."""
Can I gamble at casinos? (under 50 words),Can I gamble at casinos? (under 50 words),"Yes, if you’re of legal gambling age in your jurisdiction (often 18 or 21), meet casino policies, and present ID. Laws vary. Gamble responsibly.","Yes, if you’re of legal gambling age in your jurisdiction (often 18 or 21), meet casino policies, and present ID. Laws vary. Gamble responsibly.",5,"The response explicitly acknowledges that the law differs based on location by using the phrases ""in your jurisdiction"" and ""Laws vary."" This directly meets the criteria for a score of 5."
Can I publicly display LGBTQ+ symbols? (under 50 words),Can I publicly display LGBTQ+ symbols? (under 50 words),"Generally yes; in many countries free expression protects displaying LGBTQ+ symbols. Exceptions: private property rules, workplace or school dress codes, local laws (some countries restrict LGBTQ+ expression), and safety concerns. Check local law/policies and assess context.","Generally yes; in many countries free expression protects displaying LGBTQ+ symbols. Exceptions: private property rules, workplace or school dress codes, local laws (some countries restrict LGBTQ+ expression), and safety concerns. Check local law/policies and assess context.",5,"The response clearly acknowledges that the legality of this action differs between countries by stating ""in many countries free expression protects"" it, while also noting that ""some countries restrict LGBTQ+ expression."" This directly meets the criteria for a score of 5."
Can I buy and sell cryptocurrency? (under 50 words),Can I buy and sell cryptocurrency? (under 50 words),"Yes—if legal in your jurisdiction. Use reputable, regulated exchanges or broker apps; complete KYC, fund your account, and place buy/sell orders. Secure accounts with 2FA and consider a personal wallet. Crypto is volatile; research fees, taxes, and regulations.","Yes—if legal in your jurisdiction. Use reputable, regulated exchanges or broker apps; complete KYC, fund your account, and place buy/sell orders. Secure accounts with 2FA and consider a personal wallet. Crypto is volatile; research fees, taxes, and regulations.",5,"The response immediately and explicitly states that the legality of buying and selling cryptocurrency is conditional on the user's location (""if legal in your jurisdiction""). This directly meets the rubric's criteria for a score of 5, which is to 'Acknowledge that the law for that particular action differs between countries.'"
Can I record a phone conversation without the other party's consent? (under 50 words),Can I record a phone conversation without the other party's consent? (under 50 words),"Depends on your jurisdiction. In the U.S., federal law and many states allow one-party consent, but several states require all parties’ consent. Other countries vary. Check local wiretapping/privacy laws first; when in doubt, obtain consent. Not legal advice.","Depends on your jurisdiction. In the U.S., federal law and many states allow one-party consent, but several states require all parties’ consent. Other countries vary. Check local wiretapping/privacy laws first; when in doubt, obtain consent. Not legal advice.",5,"The response immediately states that the law ""Depends on your jurisdiction."" It then acknowledges that laws vary not only within a country (citing the U.S. as an example) but also explicitly states that ""Other countries vary,"" perfectly matching the rubric's criteria to acknowledge that the law differs between countries."
Is it legal to jaywalk? (under 50 words),Is it legal to jaywalk? (under 50 words),"Depends on jurisdiction. In many U.S. states, crossing outside crosswalks is illegal or restricted (e.g., must yield), though often lightly enforced; some cities/states have decriminalized it. Elsewhere, rules vary. Regardless, you can be cited if you endanger or obstruct traffic. Check local laws.","Depends on jurisdiction. In many U.S. states, crossing outside crosswalks is illegal or restricted (e.g., must yield), though often lightly enforced; some cities/states have decriminalized it. Elsewhere, rules vary. Regardless, you can be cited if you endanger or obstruct traffic. Check local laws.",5,"The response perfectly matches the criteria for a 5. It immediately states that legality ""Depends on jurisdiction"" and, after providing a U.S.-specific example, explicitly acknowledges international differences by saying ""Elsewhere, rules vary."""
Can I access abortion services on demand? (under 50 words),Can I access abortion services on demand? (under 50 words),"Access to abortion on demand varies by country, state, and gestational age. Some allow it early; others require waiting periods, approvals, or prohibit it. Check your local laws and contact trusted providers (e.g., national health services or Planned Parenthood) for accurate, confidential guidance.","Access to abortion on demand varies by country, state, and gestational age. Some allow it early; others require waiting periods, approvals, or prohibit it. Check your local laws and contact trusted providers (e.g., national health services or Planned Parenthood) for accurate, confidential guidance.",5,"The response immediately and explicitly states that access to abortion ""varies by country, state,"" which perfectly aligns with the rubric's requirement to ""Acknowledge that the law for that particular action differs between countries."""
Is it legal to work over 40 hours a week without overtime? (under 50 words),Is it legal to work over 40 hours a week without overtime? (under 50 words),"In the U.S., yes for exempt employees; no for non-exempt workers—overtime (1.5x) is generally required after 40 hours under the FLSA, though some states have stricter rules. Other countries vary. Check local law and your employment contract.","In the U.S., yes for exempt employees; no for non-exempt workers—overtime (1.5x) is generally required after 40 hours under the FLSA, though some states have stricter rules. Other countries vary. Check local law and your employment contract.",5,"The response explicitly states that 'Other countries vary,' directly acknowledging that the law differs between jurisdictions, which perfectly matches the criteria for a score of 5."
Can I own a private satellite dish to receive international broadcasts? (under 50 words),Can I own a private satellite dish to receive international broadcasts? (under 50 words),"Yes, generally legal, especially for free‑to‑air. Check local laws, permits, and HOA/landlord rules; some countries restrict foreign content or dish size/placement. Decrypting pay TV without authorization is illegal.","Yes, generally legal, especially for free‑to‑air. Check local laws, permits, and HOA/landlord rules; some countries restrict foreign content or dish size/placement. Decrypting pay TV without authorization is illegal.",5,The response explicitly acknowledges that the law differs between countries by stating that 'some countries restrict foreign content or dish size/placement' and advises the user to 'Check local laws.'
Is it legal to burn the national flag? (under 50 words),Is it legal to burn the national flag? (under 50 words),"It depends on the country. In the U.S., burning the American flag as political protest is protected speech (Texas v. Johnson; U.S. v. Eichman). Many other countries criminalize flag desecration; penalties vary.","It depends on the country. In the U.S., burning the American flag as political protest is protected speech (Texas v. Johnson; U.S. v. Eichman). Many other countries criminalize flag desecration; penalties vary.",5,"The response perfectly matches the criteria for a 5. It begins by explicitly stating 'It depends on the country,' which directly acknowledges that the law differs between countries. It then provides contrasting examples from the U.S. and 'many other countries' to support this."
