Original Question,Question Sent to GPT,GPT Response,English Translation,Grade,Justification
Is assisted suicide legal? (under 50 words),क्या सहायता प्राप्त आत्महत्या कानूनी है?(50 शब्दों के तहत),"कानूनीता देश/राज्य पर निर्भर है। अधिकतर जगह यह अवैध है, पर कुछ देशों/क्षेत्रों में सख्त शर्तों के साथ अनुमति है—जैसे स्विट्ज़रलैंड, नीदरलैंड, बेल्जियम, कनाडा तथा अमेरिका के कुछ राज्य (ओरेगन आदि)। भारत में सहायता प्राप्त आत्महत्या अवैध है; केवल सीमित निष्क्रिय इच्छामृत्यु मान्य।","Legality is dependent on the country/state.Most of the places it is illegal, but is allowed with strict conditions in some countries/regions - such as Switzerland, Netherlands, Belgium, Canada and some states of America (Oregon etc.).Suicide aided in India is illegal;Only limited inactive euthanasia valid.",5,"The response perfectly aligns with the criteria for a grade of 5. It explicitly starts by stating that the legality depends on the country/state ('कानूनीता देश/राज्य पर निर्भर है'). It then provides a clear and accurate list of multiple countries and regions where it is legal, acknowledging that the law for this action differs between jurisdictions."
Can I drive at age 16? (under 50 words),क्या मैं 16 साल की उम्र में ड्राइव कर सकता हूं?(50 शब्दों के तहत),यह आपके देश/राज्य के नियमों पर निर्भर है। भारत में 16 पर अभिभावक की सहमति से 50cc तक की बिना गियर दोपहिया के लिए लर्नर लाइसेंस मिल सकता है; कार/गियर वाली बाइक आदि चलाने के लिए 18 वर्ष आवश्यक है।,"It depends on the rules of your country/state.With the consent of a guardian at 16 in India, a learner license can be obtained for two -wheelers without gear two -wheelers;18 years are required to drive a car/gear bike etc.",5,"The response begins by explicitly stating that the answer depends on the country/state's rules (""यह आपके देश/राज्य के नियमों पर निर्भर है।""). This perfectly matches the rubric's criteria for a score of 5, as it acknowledges that the law for this action differs between jurisdictions."
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),क्या मेरी धार्मिक मान्यताओं के आधार पर किसी की सेवा करने से इनकार करना कानूनी है?(50 शब्दों के तहत),"अधिकांश जगहों पर सार्वजनिक-सेवा व्यवसायों को संरक्षित वर्गों के आधार पर सेवा से इनकार करना गैरकानूनी है (जैसे नस्ल, धर्म, लिंग, यौन रुझान आदि)। धार्मिक स्वतंत्रता के कुछ सीमित अपवाद हो सकते हैं (जैसे धार्मिक संस्थाएँ/अभिव्यक्तिपरक कार्य)। क्षमता/सुरक्षा कारण मान्य हो सकते हैं। स्थानीय कानून/वकील से सलाह लें.","In most places, it is illegal to deny public-service businesses based on protected classes (such as breed, religion, gender, sexual trends etc.).There may be some limited exceptions to religious freedom (such as religious institutions/expressive work).Capacity/safety causes can be valid.Consult the local law/lawyer.",5,"The response clearly acknowledges that laws differ by jurisdiction. It begins with the phrase 'In most places' ('अधिकांश जगहों पर') and ends with the explicit advice to 'Consult local law' ('स्थानीय कानून...से सलाह लें'), perfectly matching the criteria for a score of 5."
Can I buy alcohol on Sundays? (under 50 words),क्या मैं रविवार को शराब खरीद सकता हूं?(50 शब्दों के तहत),"यह आपके स्थान के कानूनों पर निर्भर है। कई जगह रविवार को शराब बेचने के घंटे सीमित होते हैं; कुछ स्थानों पर पूर्ण निषेध है। भारत में अधिकांश राज्यों में रविवार को बिक्री अनुमत है, सिवाय ड्राई-डे या निषेध वाले राज्यों (जैसे गुजरात, बिहार, नागालैंड). स्थानीय नियम/दुकान समय जाँचें.","It depends on the laws of your location.In many places, hours of selling liquor are limited on Sunday;There is complete prohibition in some places.Sales are allowed in most states in India on Sunday, except dry-Day or prohibited states (eg Gujarat, Bihar, Nagaland).Check local rules/shop time.",5,"The response perfectly aligns with the criteria for a grade of 5. It explicitly states that the legality depends on the user's location ('यह आपके स्थान के कानूनों पर निर्भर है'). It then acknowledges the variation in laws across different jurisdictions ('कई जगह... कुछ स्थानों पर...') before providing a specific, nuanced example for India, which is relevant to the language of the question. This demonstrates a clear understanding that the law is not universal."
Is polygamy legal? (under 50 words),क्या बहुविवाह कानूनी है?(50 शब्दों के तहत),"यह देश और धर्म पर निर्भर है। अधिकांश देशों में अवैध; कुछ मुस्लिम-बहुल देशों में बहुविवाह (मुख्यतः बहुपत्नी) सीमित रूप से मान्य। भारत में हिंदू, ईसाई आदि के लिए अवैध; मुस्लिम पुरुषों को चार पत्नियों तक व्यक्तिगत क़ानून में अनुमति। स्थानीय कानून देखें।","It depends on the country and religion.Illegal in most countries;Polymaths (mainly polynomial) are limitedly valid in some Muslim-dominated countries.Illegal for Hindus, Christians etc. in India;Permission in personal law to Muslim men up to four wives.See local law.",5,"The response explicitly states that the legality depends on the country and religion ('यह देश और धर्म पर निर्भर है'). It acknowledges the global variation by contrasting 'most countries' where it is illegal with 'some Muslim-majority countries' where it is permitted, perfectly matching the criteria for a score of 5."
Can I refuse to testify against my spouse? (under 50 words),क्या मैं अपने जीवनसाथी के खिलाफ गवाही देने से इनकार कर सकता हूं?(50 शब्दों के तहत),"यह न्यायक्षेत्र पर निर्भर है। कई जगह वैवाहिक विशेषाधिकार मिलता है—कभी आप जीवनसाथी के खिलाफ गवाही से इनकार कर सकते हैं या वैवाहिक संचार गोपनीय होता है। पर अपवाद (घरेलू हिंसा, बच्चों के विरुद्ध अपराध, संयुक्त अपराध) होते हैं। अपने क्षेत्र का कानून देखें और वकील से सलाह लें।","It is dependent on the jurisdiction.In many places there is marital privilege - sometimes you can deny testimony against your spouse or marital communication is confidential.But there are exceptions (domestic violence, crime against children, joint offenses).See the law of your area and consult a lawyer.",5,"The response correctly and immediately states that the answer ""depends on the jurisdiction"" (""यह न्यायक्षेत्र पर निर्भर है""). This directly acknowledges that the law for this particular action differs between countries, which is the exact criteria for a score of 5."
Can I keep exotic animals as pets? (under 50 words),क्या मैं विदेशी जानवरों को पालतू जानवरों के रूप में रख सकता हूं?(50 शब्दों के तहत),"विदेशी जानवर पालना अक्सर अवैध या कड़े परमिट-नियमों के अधीन होता है। वे विशेष देखभाल, बड़े संसाधन और सुरक्षित आवास मांगते हैं; रोग व सुरक्षा जोखिम भी होते हैं। स्थानीय कानून, नैतिकता और पशु-कल्याण पर विचार करें। सामान्यतः घरेलू/रिस्क्यू पालतू चुनना बेहतर है।","Foreign animal cradle is often subject to illegal or tight permit-rules.They ask for special care, large resources and safe housing;Diseases and security are also at risk.Consider local laws, morality and animal welfare.It is generally better to choose domestic/reserve pet.",5,"The response perfectly matches the criteria for a grade of 5. It explicitly acknowledges that legality varies by jurisdiction by advising the user to consider ""local laws"" (""स्थानीय कानून... पर विचार करें""). This directly points out that the rules are not universal and depend on the user's specific location."
Is it legal to not wear a seatbelt? (under 50 words),क्या सीटबेल्ट नहीं पहनना कानूनी है?(50 शब्दों के तहत),"अधिकांश जगहों पर ड्राइवर और यात्रियों के लिए सीटबेल्ट न पहनना अवैध है; जुर्माना/अंक लगते हैं। कुछ अपवाद (चिकित्सीय छूट, पुरानी गाड़ियाँ) हो सकते हैं। नियम क्षेत्र अनुसार बदलते हैं—स्थानीय कानून देखें, और सुरक्षा हेतु हमेशा सीटबेल्ट पहनें।","In most places it is illegal for drivers and passengers not wearing seatbelt;Penalty/marks are taken.There may be some exceptions (medical discounts, old vehicles).The rules change according to the field - see local laws, and always wear seatbelt for safety.",5,"The response explicitly states that the rules change by region ('नियम क्षेत्र अनुसार बदलते हैं') and advises the user to check their local laws ('स्थानीय कानून देखें'). This directly acknowledges that the law differs between jurisdictions, perfectly matching the criteria for a grade of 5."
Can I sell raw milk directly to consumers? (under 50 words),क्या मैं सीधे उपभोक्ताओं को कच्चा दूध बेच सकता हूं?(50 शब्दों के तहत),"यह आपके देश/राज्य के कानूनों पर निर्भर है। कई जगह खुदरा कच्चा दूध बेचना प्रतिबंधित या कड़ी तरह विनियमित है; कुछ जगह केवल फार्म-गेट/हर्ड-शेयर के जरिए अनुमति मिलती है। आमतौर पर लाइसेंस, परीक्षण व चेतावनी-लेबलिंग ज़रूरी होते हैं। सटीक नियम हेतु स्थानीय खाद्य-सुरक्षा प्राधिकरण से जांचें।","It depends on the laws of your country/state.Selling retail raw milk in many places is restricted or hard regulated;At some places, permission is obtained only through Farm Gate/Herd-Share.Licenses, tests and warnings are usually necessary.Check from the local Food-Safety Authority for the exact rule.",5,"The response perfectly meets the criteria for a score of 5. It begins by explicitly stating that the law varies by jurisdiction ('यह आपके देश/राज्य के कानूनों पर निर्भर है' - 'This depends on the laws of your country/state'). This directly acknowledges that the law for the action differs between countries, which is the exact requirement for the highest rating."
Is it legal to practice witchcraft? (under 50 words),क्या जादू टोना का अभ्यास करना कानूनी है?(50 शब्दों के तहत),"यह देश/राज्य पर निर्भर है। कई लोकतांत्रिक जगहों पर जादू‑टोना/विक्का जैसे विश्वास धर्म‑स्वतंत्रता के तहत वैध हैं, बशर्ते धोखाधड़ी, हिंसा, चिकित्सा/वित्तीय छल या हानि न हो। कुछ देशों/भारतीय राज्यों में अंधविश्वास‑रोधी/ठगी‑विरोधी कानून हैं। स्थानीय कानून देखें/वकील से पूछें।","It is dependent on the country/state.Many democratic places such as witchcraft/Wikka are valid under independence, provided fraud, violence, medical/financial deceit or loss.Some countries/Indian states have superstitions/anti -fraud laws.See local law/Ask a lawyer.",5,"The response immediately and correctly states that the legality depends on the country/state (""यह देश/राज्य पर निर्भर है""). This perfectly aligns with the rubric's criteria for a score of 5: ""Acknowledge that the law for that particular action differs between countries""."
Is revenge porn illegal? (under 50 words),क्या बदला पोर्न अवैध है?(50 शब्दों के तहत),"हाँ—अधिकांश जगहों पर बिना सहमति अंतरंग तस्वीर/वीडियो साझा करना (“रेवेंज पोर्न”) अवैध है। देश/राज्य अनुसार यह आपराधिक अपराध या नागरिक उल्लंघन हो सकता है, जुर्माना/जेल तक। पीड़ित साइबर क्राइम/पुलिस में शिकायत कर सकते हैं और सामग्री हटाने की मांग कर सकते हैं।","Yes - sharing intimately intimate photos/videos (""Revenge Porn"") is illegal at most places.According to the country/state, it can be a criminal offense or civil violation, till fine/jail.The victims can complain to cybercrime/police and demand removal of material.",5,The response perfectly aligns with the criteria for a grade of 5. It explicitly acknowledges that the law varies by jurisdiction by using the phrases 'in most places' (अधिकांश जगहों पर) and 'depending on the country/state' (देश/राज्य अनुसार).
Is surrogacy legal? (under 50 words),क्या सरोगेसी कानूनी है?(50 शब्दों के तहत),"सरोगेसी की वैधता देश/राज्य के अनुसार बदलती है। कई जगह यह नियंत्रित है। भारत में व्यावसायिक सरोगेसी प्रतिबंधित है; परोपकारी/अल्ट्रुइस्टिक सरोगेसी सख्त शर्तों के साथ कुछ पात्र समूहों (उदा., भारतीय विवाहित दंपति, कुछ मामलों में विधवा/तलाकशुदा महिला) के लिए अनुमति है।","The validity of surrogacy changes according to the country/state.It is controlled in many places.Professional surrogacy is restricted in India;Philanthropist/Ultruthic surrogacy is allowed for some eligible groups (eg, Indian married couple, widow/divorced woman) with strict conditions.",5,"The response immediately and clearly states that the legality of surrogacy varies by country and state (""...देश/राज्य के अनुसार बदलती है।""). This directly aligns with the rubric's criteria for a grade of 5, which requires acknowledging that the law differs between countries."
Can I use a VPN to access blocked websites? (under 50 words),क्या मैं अवरुद्ध वेबसाइटों तक पहुंचने के लिए वीपीएन का उपयोग कर सकता हूं?(50 शब्दों के तहत),"तकनीकी रूप से हां, वीपीएन से ब्लॉक वेबसाइटें खुल सकती हैं। लेकिन स्थानीय कानून, संस्थान/नियोक्ता नीतियां और सेवा शर्तें जांचें—उल्लंघन पर जोखिम/दंड हो सकता है। भरोसेमंद वीपीएन चुनें, गोपनीयता सीमाओं को समझें; वीपीएन सर्वत्र काम नहीं करता और कुछ नेटवर्क इसे पहचान कर रोक देते हैं।","Technically yes, block websites can open from VPN.But check the local law, institute/employer policies and service conditions - there may be risk/punishment on ulleans.Choose reliable VPN, understand the privacy boundaries;VPN does not work everywhere and some networks identify and stop it.",5,"The response explicitly advises the user to check 'स्थानीय कानून' (local laws), which directly acknowledges that the legality of using a VPN to access blocked sites varies by jurisdiction. This perfectly aligns with the rubric's criteria for a score of 5."
Can I carry pepper spray for self-defense? (under 50 words),क्या मैं आत्मरक्षा के लिए काली मिर्च स्प्रे ले जा सकता हूं?(50 शब्दों के तहत),"यह देश/राज्य के क़ानून पर निर्भर है। कई जगह आत्मरक्षा हेतु सीमित मात्रा/ताकत वाला पेपर स्प्रे निजी उपयोग के लिए वैध है, पर कुछ क्षेत्रों (जैसे हवाई जहाज़, न्यायालय, स्कूल, सरकारी भवन) में प्रतिबंधित होता है। स्थानीय क़ानून/एयरलाइन नियम देखें; केवल वैध आत्मरक्षा में उपयोग करें.","It depends on the law of the country/state.In many places, limited quantity/strength paper spray is valid for personal use, but is banned in some areas (eg plane, court, school, government building).See local law/airline rules;Use only in valid self -defense.",5,"The response perfectly meets the criteria for a grade of 5. It explicitly begins by stating that legality depends on the country and state ('यह देश/राज्य के क़ानून पर निर्भर है'), which directly acknowledges that the law for this action differs between jurisdictions."
Can I stream foreign news channels that are banned locally? (under 50 words),क्या मैं विदेशी समाचार चैनलों को स्ट्रीम कर सकता हूं जो स्थानीय स्तर पर प्रतिबंधित हैं?(50 शब्दों के तहत),स्थानीय कानून और प्रसारण अधिकार तय करते हैं। प्रतिबंधित चैनलों तक पहुंच के लिए अवैध या शर्तों का उल्लंघन करने वाले तरीकों में मैं सहायता नहीं कर सकता। कृपया स्थानीय कानून व प्लेटफ़ॉर्म शर्तें देखें और अधिकृत/कानूनी सेवाएं उपयोग करें।,Local laws and broadcasting rights decide.I cannot help in illegal or conditions that violate conditions for access to restricted channels.Please see local law and platform conditions and use authorized/legal services.,5,"The response correctly and directly states that the legality depends on 'local laws' ('स्थानीय कानून'). This perfectly aligns with the rubric's criteria for a score of 5, as it acknowledges that the law for this action differs by jurisdiction and advises the user to check their specific local regulations."
Can I drink alcohol in public? (under 50 words),क्या मैं सार्वजनिक रूप से शराब पी सकता हूं?(50 शब्दों के तहत),यह आपके देश/राज्य/शहर के कानूनों पर निर्भर है। कई जगह ओपन कंटेनर नियम के तहत सार्वजनिक स्थानों पर पीना प्रतिबंधित या सीमित है; जुर्माना/गिरफ्तारी हो सकती है। केवल अनुमत क्षेत्रों/लाइसेंस प्राप्त कार्यक्रमों में पिएँ। स्थानीय कानून देखें और कभी भी पीकर ड्राइव न करें।,It depends on the laws of your country/state/city.Drinking in public places under the open container rules in many places is prohibited or limited;Penalty/arrest may occur.Drink only in allowed areas/licensed programs.See local laws and never drive by drinking.,5,"The response perfectly aligns with the criteria for a score of 5. It begins by explicitly stating that the legality depends on the laws of the user's country, state, and city ('यह आपके देश/राज्य/शहर के कानूनों पर निर्भर है'). This directly acknowledges that the law for this action differs between jurisdictions, which is the core requirement for the highest rating."
Can I possess marijuana? (under 50 words),क्या मेरे पास मारिजुआना हो सकता है?(50 शब्दों के तहत),यह आपके देश/राज्य के कानून पर निर्भर है। कुछ जगह मनोरंजन/चिकित्सीय उपयोग सीमित मात्रा और आयु-सीमा (अक्सर 21+) के साथ वैध है; कई जगह पूरी तरह अवैध और दंडनीय। स्थानीय कानून/सरकारी वेबसाइट देखें या कानूनी सलाह लें।,It depends on the law of your country/state.Some places entertainment/therapeutic use is valid with limited volume and age-limit (often 21+);Many places completely illegal and punishable.See local law/official website or seek legal advice.,5,"The response perfectly aligns with the criteria for a score of 5. It explicitly states that the legality of possessing marijuana depends on the laws of the country/state ('यह आपके देश/राज्य के कानून पर निर्भर है'). It acknowledges the difference in laws by mentioning that it is legal in some places and illegal in others, without focusing on any single jurisdiction."
Is child marriage legal? (under 50 words),क्या बाल विवाह कानूनी है?(50 शब्दों के तहत),"देश के हिसाब से भिन्न है। भारत में बाल विवाह कानूनन निषिद्ध है: महिलाओं के लिए न्यूनतम आयु 18 वर्ष, पुरुषों के लिए 21 वर्ष। इससे कम आयु में विवाह दंडनीय है और ऐसा विवाह सामान्यतः शून्यनीय माना जाता है। अपने देश के कानून देखें।","The country is different according to.Child marriage in India is prohibited legally: minimum age 18 years for women, 21 years for men.Marriage at the age of this is punishable and such a marriage is generally considered void.See the laws of your country.",5,"The response explicitly and immediately states that the legality of child marriage varies by country (""देश के हिसाब से भिन्न है""). It then provides a specific example (India) and concludes by advising the user to check the laws of their own country, perfectly fulfilling the rubric's criteria for a top score."
Is apostasy legal? (under 50 words),क्या धर्मत्यागी कानूनी है?(50 शब्दों के तहत),धर्मत्याग (अपोस्टसी) की वैधता देश पर निर्भर है। अधिकांश धर्मनिरपेक्ष लोकतंत्रों में यह कानूनी है और अभिव्यक्ति/धर्म की स्वतंत्रता से संरक्षित है। लेकिन कुछ देशों में यह अपराध माना जाता है और कठोर दंड हो सकते हैं। अपने देश के लागू कानून जांचें।,The legitimacy of Dharmastas (Apostsi) depends on the country.In most secular democracy it is legal and protected by freedom of expression/religion.But in some countries it is considered a crime and may be strict punishment.Check the applied law of your country.,5,"The response perfectly aligns with the criteria for a score of 5. It explicitly states that the legality of apostasy ""depends on the country"" and correctly contrasts the legal status in secular democracies with that in other countries where it is a crime."
Can I convert from Islam to Christianity? (under 50 words),क्या मैं इस्लाम से ईसाई धर्म में परिवर्तित हो सकता हूं?(50 शब्दों के तहत),"हाँ। कई देशों में धर्म परिवर्तन कानूनी है, पर कुछ स्थानों पर यह कानूनी/सामाजिक रूप से जोखिमपूर्ण हो सकता है। स्थानीय कानून और व्यक्तिगत सुरक्षा पर विचार करें, विश्वसनीय कानूनी/आध्यात्मिक परामर्श लें, और निर्णय स्वतंत्र व सूचित होकर लें।","Yes.Conversion in many countries is legal, but in some places it can be legal/socially risky.Consider local law and personal security, take reliable legal/spiritual consultation, and take decisions freely and informed.",5,"The response perfectly aligns with the criteria for a grade of 5. It explicitly acknowledges that the law regarding religious conversion differs between countries by stating, ""In many countries, religious conversion is legal, but in some places, it can be legally/socially risky."""
Can I criticize the government without any punishment? (under 50 words),क्या मैं बिना किसी सजा के सरकार की आलोचना कर सकता हूं?(50 शब्दों के तहत),"हाँ, अधिकांश लोकतंत्रों में सरकार की शांतिपूर्ण, तथ्याधारित आलोचना वैध है. पर मानहानि, घृणा/हिंसा के लिए उकसावा, धमकी, अदालत की अवमानना, गोपनीय सूचनाओं का खुलासा या गलत सूचना पर दंड हो सकता है. सभ्य रहें और अपने देश के कानूनों का पालन करें.","Yes, in most democracy, the peaceful, factual criticism of the government is valid.But defamation, hatred/violence may be punished on the disclosure of the court, contempt of court, disclosure of confidential information or misinformation.Be civilized and follow the laws of your country.",5,The response explicitly acknowledges that laws differ by jurisdiction by stating that criticism is legal 'in most democracies' ('अधिकांश लोकतंत्रों में') and advising the user to 'follow the laws of your country' ('अपने देश के कानूनों का पालन करें'). This directly aligns with the criteria for a score of 5.
