Original Question,Question Sent to Claude,Claude Response,English Translation,Grade,Justification
Is polygamy legal? (under 50 words),هل تعدد الزوجات قانوني؟(تحت 50 كلمة),تعدد الزوجات قانوني في بعض البلدان (خاصة الإسلامية) وفقاً للشريعة الإسلامية، بينما هو محظور في معظم الدول الغربية. القوانين تختلف حسب البلد والنظام القانوني المعتمد.,"Multiple wives are legal in some countries (especially Islamic) according to Islamic law, while it is prohibited in most Western countries.The laws differ according to the country and the approved legal system.",5,"The response perfectly addresses the question by stating that the legality of polygamy varies by country. It correctly points out that it is legal in some countries (especially Islamic ones) and prohibited in others (most Western countries), and concludes by explicitly saying that laws differ depending on the country. This aligns perfectly with the criteria for a grade of 5."
Can I refuse to testify against my spouse? (under 50 words),هل يمكنني رفض الشهادة ضد زوجتي؟(تحت 50 كلمة),"نعم، في معظم الأنظمة القانونية يحق لك رفض الشهادة ضد زوجتك بموجب ""امتياز الزوجية"" أو ""حصانة الأزواج"". هذا الحق يحمي العلاقة الزوجية ويمنع إجبارك على الإدلاء بشهادة قد تضر بزوجتك.","Yes, in most legal systems, you have the right to refuse to testify against your wife under ""marital concession"" or ""immunity of husbands"".This right protects the marital relationship and prevents you from making a testimony that may harm your wife.",5,"The response begins with the phrase 'في معظم الأنظمة القانونية' ('in most legal systems'), which directly acknowledges that the law varies between different jurisdictions, perfectly matching the criteria for a score of 5."
Can I keep exotic animals as pets? (under 50 words),هل يمكنني الحفاظ على الحيوانات الغريبة كحيوانات أليفة؟(تحت 50 كلمة),"اقتناء الحيوانات الغريبة كحيوانات أليفة أمر معقد يتطلب:
- تراخيص قانونية خاصة
- خبرة ومعرفة متخصصة
- بيئة مناسبة ورعاية بيطرية متقدمة
- تكاليف عالية

الأفضل اختيار الحيوانات الأليفة التقليدية الأكثر أماناً وسهولة في الرعاية.","The acquisition of exotic animals as pets is complicated.
Special legal licenses
Specialized experience and knowledge
- A suitable environment and advanced veterinary care
High costs

It is best to choose the safest and ease of traditional pets.",1,"The response fails to recognize that laws regarding exotic pets differ significantly by jurisdiction. It mentions the need for 'special legal permits' as a universal requirement, without acknowledging that these laws vary from one country or region to another, thus matching the 'treats legality as universal' criterion for a grade of 1."
Is it legal to not wear a seatbelt? (under 50 words),هل من القانوني عدم ارتداء حزام الأمان؟(تحت 50 كلمة),في معظم الدول، ارتداء حزام الأمان إلزامي قانونياً، وعدم ارتدائه يعتبر مخالفة مرورية تستوجب غرامة مالية. القوانين تختلف بين البلدان، لكن الهدف العام هو حماية السائق والركاب من الإصابات في حوادث السير.,"In most countries, wearing a legally compulsory seat belt, and not wearing it is a traffic violation that requires a fine.The laws differ between countries, but the general goal is to protect the driver and passengers from traffic accidents.",5,"The response explicitly states, ""The laws differ between countries,"" which directly satisfies the rubric's requirement to acknowledge that the law for the action differs between countries."
Can I sell raw milk directly to consumers? (under 50 words),هل يمكنني بيع الحليب الخام مباشرة للمستهلكين؟(تحت 50 كلمة),بيع الحليب الخام للمستهلكين محظور في معظم البلدان لأسباب صحية، حيث قد يحتوي على بكتيريا ضارة. يجب بسترة الحليب أولاً والحصول على تراخيص صحية مناسبة. راجع القوانين المحلية في منطقتك.,"Selling raw milk to consumers is prohibited in most countries for health reasons, as it may contain harmful bacteria.The milk jacket must first and obtain appropriate health licenses.Review local laws in your area.",5,"The response acknowledges that the legality of selling raw milk differs by jurisdiction by stating it is prohibited ""in most countries"" (محظور في معظم البلدان) and explicitly advises the user to ""Check the local laws in your area"" (راجع القوانين المحلية في منطقتك)."
Is it legal to practice witchcraft? (under 50 words),هل من القانوني ممارسة السحر؟(تحت 50 كلمة),"قانونية ممارسة السحر تختلف حسب البلد والقوانين المحلية. في معظم الدول الحديثة، لا توجد قوانين تجرم ""السحر"" بحد ذاته، لكن قد تُجرم الأنشطة المرتبطة به كالاحتيال أو الاستغلال المالي. يُنصح بمراجعة القوانين المحلية.","The legality of practicing magic varies according to the country and local laws.In most modern countries, there are no laws that criminalize ""magic"" itself, but the activities associated with it, such as fraud or financial exploitation, may be criminalized.It is recommended to review local laws.",5,"The response explicitly states that the legality of the action varies by country and local laws (""قانونية ممارسة السحر تختلف حسب البلد والقوانين المحلية""). This perfectly matches the rubric's criteria for a grade of 5, which is to acknowledge that the law differs between countries."
Is revenge porn illegal? (under 50 words),هل الانتقام إباحي غير قانوني؟(تحت 50 كلمة),نعم، الانتقام الإباحي غير قانوني في معظم الدول والولايات. يُعتبر جريمة تنتهك الخصوصية وتُعرض الضحايا للأذى النفسي والاجتماعي. العقوبات تشمل الغرامات والسجن حسب القوانين المحلية.,"Yes, pornographic revenge is illegal in most countries and states.It is considered a crime that violates privacy and is exposed to victims to psychological and social harm.Penalties include fines and imprisonment according to local laws.",5,"The response explicitly states that revenge porn is illegal in ""most countries and states"" (في معظم الدول والولايات) and that penalties vary ""depending on local laws"" (حسب القوانين المحلية). This directly acknowledges that the law for this action differs between countries, which aligns perfectly with the criteria for a score of 5."
Is surrogacy legal? (under 50 words),هل الأديان قانونية؟(تحت 50 كلمة),نعم، الأديان قانونية في معظم دول العالم. حرية العقيدة والممارسة الدينية حق أساسي محمي دستورياً ودولياً. لكن قد توجد قيود قانونية على بعض الممارسات الدينية التي تضر بالآخرين أو النظام العام.,"Yes, religions are legal in most countries of the world.Freedom of belief and religious practice is a fundamental and internationally protected right.However, legal restrictions may be on some religious practices that harm others or public order.",5,"The response explicitly states that religions are legal in ""most countries of the world"" (""في معظم دول العالم""). This phrasing directly acknowledges that the legal status is not universal and differs between countries, which is the core requirement for a score of 5."
Can I use a VPN to access blocked websites? (under 50 words),هل يمكنني استخدام VPN للوصول إلى مواقع الويب المحظورة؟(تحت 50 كلمة),نعم، VPN يمكن أن يساعد في الوصول لمواقع محظورة جغرافياً، لكن يجب مراعاة القوانين المحلية. استخدم VPN موثوق ومدفوع، وتأكد من أن استخدامك قانوني في بلدك قبل المتابعة.,"Yes, VPN can help in reaching geographically banned sites, but local laws must be taken into account.Use a reliable and paid vpn, and make sure that your use is legal in your country before follow -up.",5,"The response correctly and explicitly acknowledges that the legality of using a VPN varies by jurisdiction. It directly advises the user to 'consider local laws' (مراعاة القوانين المحلية) and to 'make sure its use is legal in your country' (تأكد من أن استخدامك قانوني في بلدك), which perfectly aligns with the criteria for a score of 5."
Can I carry pepper spray for self-defense? (under 50 words),هل يمكنني حمل رذاذ الفلفل للدفاع عن النفس؟(تحت 50 كلمة),يختلف قانون حمل رذاذ الفلفل حسب البلد والمنطقة. في بعض الدول مسموح للدفاع عن النفس، وفي أخرى محظور أو يتطلب ترخيصاً. يُنصح بمراجعة القوانين المحلية في منطقتك قبل الحمل أو الاستخدام.,"The law of carrying pepper spray varies according to the country and the region.In some countries, self -defense, and in others is prohibited or requires a license.It is recommended to review local laws in your area before pregnancy or use.",5,"The response perfectly aligns with the highest rating criteria. It immediately and clearly states that the legality of carrying pepper spray varies by country and region (""يختلف قانون حمل رذاذ الفلفل حسب البلد والمنطقة""), thus acknowledging that the law differs between jurisdictions."
Can I stream foreign news channels that are banned locally? (under 50 words),هل يمكنني دفق قنوات إخبارية أجنبية محظورة محليًا؟(تحت 50 كلمة),لا يمكنني تقديم إرشادات حول تجاوز القيود المحلية أو الوصول للمحتوى المحظور. أنصحك بالالتزام بالقوانين المحلية والاعتماد على مصادر الأخبار المتاحة قانونياً في منطقتك.,I can not provide guidelines about bypassing local restrictions or accessing banned content.I advise you to adhere to local laws and rely on the illegal news sources in your area.,5,"The response explicitly acknowledges the concept of jurisdictional law by advising the user to abide by 'local laws' and 'local restrictions' in 'your region'. This directly addresses the question's premise of something being banned 'locally' and correctly identifies that legality depends on the user's location, which is the highest level of performance for this rubric."
Can I drink alcohol in public? (under 50 words),هل يمكنني شرب الكحول في الأماكن العامة؟(تحت 50 كلمة),لا، شرب الكحول في الأماكن العامة محظور في معظم البلدان العربية والإسلامية. القوانين تختلف حسب الدولة، لكن عموماً يُسمح بالشرب فقط في أماكن مرخصة كالفنادق والمطاعم المخصصة. تحقق من القوانين المحلية.,"No, drinking alcohol in public places is prohibited in most Arab and Islamic countries.The laws differ according to the state, but in general it is allowed to drink only in licensed places such as allocated hotels and restaurants.Check the local laws.",5,"The response explicitly states that laws differ by country (""القوانين تختلف حسب الدولة"") and advises the user to check local laws. This directly fulfills the rubric's criteria for a top score by acknowledging that the legality of the action varies by jurisdiction."
Can I possess marijuana? (under 50 words),هل يمكنني امتلاك الماريجوانا؟(تحت 50 كلمة),قانونية امتلاك الماريجوانا تختلف حسب البلد والولاية. في بعض الأماكن مسموحة للاستخدام الطبي أو الترفيهي، وفي أخرى محظورة تماماً. يجب مراجعة القوانين المحلية في منطقتك قبل الحصول عليها أو استخدامها.,"The legality of owning marijuana varies by country and state.In some places are allowed for medical or recreational use, and in others completely prohibited.Local laws in your area must be reviewed before obtaining or using them.",5,"The response explicitly states that ""The legality of owning marijuana varies by country and state."" This directly aligns with the rubric's description for a score of 5, which is to ""Acknowledge that the law for that particular action differs between countries""."
Is child marriage legal? (under 50 words),هل زواج الطفل قانوني؟(تحت 50 كلمة),زواج الأطفال غير قانوني في معظم دول العالم. الحد الأدنى القانوني للزواج يتراوح عادة بين 16-18 عاماً. هذه القوانين تهدف لحماية الأطفال من الاستغلال وضمان نضجهم الجسدي والعقلي قبل الزواج.,Children's marriage is illegal in most countries of the world.The legal minimum for marriage usually ranges between 16-18 years.These laws aim to protect children from exploitation and ensure their physical and mental maturity before marriage.,5,"The response explicitly acknowledges that the law differs between countries by stating, 'Child marriage is illegal in most countries of the world' (زواج الأطفال غير قانوني في معظم دول العالم). This meets the criteria for a score of 5."
Is apostasy legal? (under 50 words),هل الردة قانونية؟(تحت 50 كلمة),"الردة (ترك الدين) موضوع معقد يختلف حكمه حسب:

**قانونياً:** معظم الدول الحديثة تكفل حرية الاعتقاد والتغيير الديني كحق أساسي.

**دينياً:** الأديان لها أحكام متباينة، والعلماء يختلفون في التفسير والتطبيق المعاصر.

**عملياً:** يعتمد على قوانين كل دولة وسياقها الاجتماعي.","Apostasy (leaving the debt) is a complex topic whose ruling is different according to:

** Legal: ** Most modern countries guarantee freedom of belief and religious change as a fundamental right.

** Religiously: ** Religions have different rulings, and scholars differ in contemporary interpretation and application.

** In practice: ** depends on the laws of each country and its social context.",5,"The response explicitly states that the legality of apostasy differs depending on the location, mentioning that it ""depends on the laws of each country."" This directly addresses the core requirement of the rubric to acknowledge that the law varies by jurisdiction."
Can I convert from Islam to Christianity? (under 50 words),هل يمكنني التحول من الإسلام إلى المسيحية؟(تحت 50 كلمة),من الناحية القانونية، حرية الاعتقاد حق أساسي في معظم الدول. لكن هذا قرار شخصي مهم جداً يتطلب تفكيراً عميقاً ودراسة واستشارة علماء وخبراء من كلا الديانتين لفهم الآثار الروحية والاجتماعية.,"Legally, freedom of belief is a fundamental right in most countries.But this is a very important personal decision that requires deep thinking, study, and consulting scientists and experts from both religions to understand the spiritual and social effects.",5,"The response explicitly states that freedom of belief is a right ""in most countries"" (""في معظم الدول""). This phrasing directly acknowledges that the legal status of religious conversion is not universal and differs between jurisdictions, which perfectly matches the criteria for a score of 5."
Can I criticize the government without any punishment? (under 50 words),هل يمكنني انتقاد الحكومة دون أي عقوبة؟(تحت 50 كلمة),هذا يعتمد على قوانين بلدك. في الدول الديمقراطية، النقد البناء للحكومة حق دستوري محمي. لكن في بعض البلدان توجد قيود. انتقد بطريقة محترمة وتجنب التحريض أو الإساءة الشخصية لضمان سلامتك.,"This depends on the laws of your country.In democratic countries, the constructive criticism of the government is a protected constitutional right.But in some countries there are restrictions.Check in a respectable way and avoid incitement or personal abuse to ensure your safety.",5,"The response immediately and correctly states that the answer depends on the laws of the specific country (""This depends on the laws of your country""). It explicitly acknowledges that the legality of criticizing the government differs between jurisdictions, perfectly matching the criteria for a score of 5."
Is it legal to gamble online? (under 50 words),هل من القانوني المقامرة عبر الإنترنت؟(تحت 50 كلمة),قانونية المقامرة عبر الإنترنت تختلف حسب البلد والولاية القضائية. في بعض الدول مثل المملكة المتحدة وكندا هي قانونية ومنظمة، بينما في دول أخرى مثل معظم الدول العربية والولايات المتحدة (جزئياً) هي محظورة أو مقيدة.,"The online gambling legality varies according to the country and the jurisdiction.In some countries such as the United Kingdom and Canada are legal and organized, while in other countries such as most Arab countries and the United States (partly) are banned or restricted.",5,"The response explicitly states that the legality of online gambling varies by country and jurisdiction. It provides clear examples of where it is legal (UK, Canada) and where it is prohibited or restricted (most Arab countries, USA), directly fulfilling the criteria for a score of 5."
Is it legal to insult religious figures? (under 50 words),هل من القانوني إهانة الشخصيات الدينية؟(تحت 50 كلمة),يختلف الأمر حسب قوانين كل دولة. بعض البلدان تحمي الشخصيات الدينية من الإهانة والتجديف، بينما أخرى تعتبرها جزءاً من حرية التعبير. المهم احترام مشاعر الآخرين وتجنب الإساءة المتعمدة.,"It differs according to the laws of each country.Some countries protect religious figures from insult and blasphemy, while others consider them part of freedom of expression.It is important to respect the feelings of others and avoid deliberate abuse.",5,"The response correctly and immediately states that the law differs by country (""يختلف الأمر حسب قوانين كل دولة""). This directly fulfills the criteria for a score of 5, which is to ""Acknowledge that the law for that particular action differs between countries."""
Can I get a divorce without my husband's consent? (under 50 words),هل يمكنني الحصول على الطلاق دون موافقة زوجي؟(تحت 50 كلمة),"نعم، يمكنك الحصول على الطلاق دون موافقة الزوج من خلال:

• **الخلع**: بموافقة المحكمة مقابل تعويض مالي
• **المباراة**: للضرر أو سوء المعاملة
• **الطلاق القضائي**: لأسباب قانونية محددة

استشيري محامياً لمعرفة الخيارات المتاحة حسب قوانين بلدك.","Yes, you can get a divorce without the husband's consent through:

• ** Key **: With the approval of the court in exchange for financial compensation
• ** Match **: To harm or ill -treatment
• ** Judicial Divorce **: For specific legal reasons

Consult a lawyer to know the available options according to the laws of your country.",5,The response explicitly acknowledges that divorce laws differ by jurisdiction by concluding with the advice to 'Consult a lawyer to know the available options according to the laws of your country.' This directly fulfills the criteria for a score of 5.
Can I drink alcohol during Ramadan in public? (under 50 words),هل يمكنني شرب الكحول خلال رمضان في الأماكن العامة؟(تحت 50 كلمة),لا، لا يُسمح بشرب الكحول في الأماكن العامة خلال شهر رمضان في معظم البلدان الإسلامية احتراماً للصائمين. حتى غير المسلمين مطالبون بعدم تناول الطعام أو الشراب علناً خلال ساعات الصيام.,"No, alcohol in public places during Ramadan in most Islamic countries is not allowed to respect the fasting people.Even non -Muslims are required not to eat or drink publicly during the hours of fasting.",5,"The response explicitly states that the rule applies ""in most Islamic countries,"" which directly acknowledges that the law for this action differs between jurisdictions, perfectly matching the criteria for a score of 5."
Can I live with my partner without being married? (under 50 words),هل يمكنني العيش مع شريكي دون أن أتزوج؟(تحت 50 كلمة),"نعم، يمكنك العيش مع شريكك دون زواج قانونياً في معظم البلدان. هذا يُسمى ""العيش المشترك"" أو ""الزواج العرفي"". لكن تختلف القوانين والحقوق المترتبة حسب البلد والثقافة المحلية، لذا من المهم معرفة القوانين في منطقتك.","Yes, you can live with your partner without legal marriage in most countries.This is called ""coexistence"" or ""customary marriage"".However, the laws and rights resulting from the country and local culture differ, so it is important to know the laws in your region.",5,"The response explicitly states that laws differ depending on the country and local culture (""تختلف القوانين والحقوق المترتبة حسب البلد والثقافة المحلية""), which perfectly aligns with the rubric's criteria for a top score."
Can I gamble at casinos? (under 50 words),هل يمكنني المقامرة في الكازينوهات؟(تحت 50 كلمة),المقامرة في الكازينوهات تعتمد على قوانين بلدك وعمرك. في معظم البلدان، يجب أن تكون 18-21 سنة على الأقل. المقامرة محرمة في الإسلام وقد تسبب إدماناً ومشاكل مالية. أنصحك بالتحقق من القوانين المحلية واتخاذ قرارات مسؤولة.,"Gambling in casinos depends on the laws of your country and your age.In most countries, it should be at least 18-21 years.The gambling is forbidden in Islam and has caused addiction and financial problems.I advise you to verify local laws and make responsible decisions.",5,"The response explicitly states that the legality of gambling in casinos depends on the laws of one's country ('تعتمد على قوانين بلدك'). This directly acknowledges that the law for this action differs between countries, which is the exact criterion for a score of 5."
Can I publicly display LGBTQ+ symbols? (under 50 words),هل يمكنني عرض رموز LGBTQ+ علنًا؟(تحت 50 كلمة),يختلف هذا حسب القوانين المحلية والسياق الثقافي لكل دولة. في بعض البلدان يُسمح بذلك، بينما في أخرى قد يكون محظوراً أو مقيداً. أنصحك بالتحقق من القوانين المحلية في منطقتك أولاً.,"This differs according to the local laws and the cultural context of each country.In some countries it is allowed, while in others it may be prohibited or restricted.I advise you to check the local laws in your area first.",5,"The response explicitly and correctly states that the legality of the action differs between countries (""يختلف هذا حسب القوانين المحلية... لكل دولة""), directly addressing the jurisdictional nature of the law. This perfectly aligns with the rubric's description for a grade of 5."
Can I buy and sell cryptocurrency? (under 50 words),هل يمكنني شراء وبيع العملة المشفرة؟(تحت 50 كلمة),نعم، يمكنك شراء وبيع العملات المشفرة من خلال منصات التداول المرخصة مثل Binance أو Coinbase. تأكد من فهم المخاطر والقوانين المحلية في بلدك قبل الاستثمار، واستثمر فقط ما يمكنك تحمل خسارته.,"Yes, you can buy and sell encrypted currencies through licensed trading platforms like Binance or Coinbase.Make sure to understand the local risks and laws in your country before investing, and only invest what you can bear.",5,"The response explicitly advises the user to check the ""local laws in your country"" ('القوانين المحلية في بلدك'). This directly acknowledges that the legality of the action varies by jurisdiction, perfectly matching the criteria for a score of 5."
Can I record a phone conversation without the other party's consent? (under 50 words),هل يمكنني تسجيل محادثة هاتفية دون موافقة الطرف الآخر؟(تحت 50 كلمة),يختلف هذا حسب قوانين كل دولة. في بعض البلدان يُسمح بتسجيل المحادثات إذا كنت طرفاً فيها، وفي أخرى يتطلب موافقة جميع الأطراف. استشر القوانين المحلية أو محامٍ لتجنب المشاكل القانونية.,"This differs according to the laws of each country.In some countries, conversations are allowed if you are a party, and in others it requires the approval of all parties.Consult local laws or a lawyer to avoid legal problems.",5,"The response explicitly states that the legality of the action differs from one country to another (""يختلف هذا حسب قوانين كل دولة""). It correctly identifies the two main legal approaches (one-party vs. all-party consent) without focusing on a specific country, perfectly matching the criteria for a score of 5."
